Sample description: 14-E06 Fab
Sample: 14-E06 Fab  c= 16.0000 mg/ml  Code: FAB1
Parent(s): C:/DOCUME~1/graewert/LOCALS~1/Temp/qt_temp.sv7720
 9.815850e-001  1.636015e+002  5.278455e+000
 9.842190e-001  1.627216e+002  5.248548e+000
 9.868540e-001  1.559664e+002  5.181767e+000
 9.894890e-001  1.521870e+002  5.195952e+000
 9.921230e-001  1.564499e+002  5.156647e+000
 9.947580e-001  1.576735e+002  5.103920e+000
 9.973930e-001  1.619520e+002  5.156739e+000
 1.000030e+000  1.595032e+002  5.165208e+000
 1.002660e+000  1.606786e+002  5.075765e+000
 1.005300e+000  1.557194e+002  5.065613e+000
 1.007930e+000  1.585151e+002  5.039656e+000
 1.010570e+000  1.586460e+002  5.074805e+000
 1.013200e+000  1.543144e+002  5.022283e+000
 1.015840e+000  1.522787e+002  5.001025e+000
 1.018470e+000  1.517103e+002  5.001689e+000
 1.021100e+000  1.466401e+002  4.935777e+000
 1.023740e+000  1.461453e+002  4.963290e+000
 1.026370e+000  1.433394e+002  4.884855e+000
 1.029010e+000  1.402692e+002  4.908002e+000
 1.031640e+000  1.413589e+002  4.867206e+000
 1.034280e+000  1.445323e+002  4.912733e+000
 1.036910e+000  1.447727e+002  4.885386e+000
 1.039550e+000  1.402127e+002  4.877143e+000
 1.042180e+000  1.400033e+002  4.839892e+000
 1.044820e+000  1.419168e+002  4.852955e+000
 1.047450e+000  1.361075e+002  4.819247e+000
 1.050090e+000  1.330864e+002  4.827657e+000
 1.052720e+000  1.299898e+002  4.751954e+000
 1.055360e+000  1.326874e+002  4.747994e+000
 1.057990e+000  1.275110e+002  4.731029e+000
 1.060620e+000  1.313897e+002  4.711164e+000
 1.063260e+000  1.260356e+002  4.671820e+000
 1.065890e+000  1.263411e+002  4.661661e+000
 1.068530e+000  1.267780e+002  4.694335e+000
 1.071160e+000  1.262333e+002  4.963420e+000
 1.073800e+000  1.261554e+002  1.302303e+001
 1.076430e+000  1.268943e+002  1.978099e+000
 1.079070e+000  1.245522e+002  1.966775e+000
