Sample description: Sub_Ave_harp_0077_803-Ave_Tp_0076_50
Sample: Sub_Ave_harp_00  c= 0 mg/ml  Code: 
 2.437655e+000  4.514461e-004  2.282641e-005
 2.443278e+000  4.145289e-004  2.284697e-005
 2.448901e+000  3.906325e-004  2.281687e-005
 2.454524e+000  3.789258e-004  2.278575e-005
 2.460146e+000  3.425765e-004  2.278454e-005
 2.465769e+000  3.611873e-004  2.274078e-005
 2.471392e+000  3.935116e-004  2.277068e-005
 2.477014e+000  3.862315e-004  2.273586e-005
 2.482637e+000  4.026517e-004  2.274282e-005
 2.488259e+000  3.736652e-004  2.272972e-005
 2.493882e+000  3.264505e-004  2.267856e-005
 2.499504e+000  3.539860e-004  2.269250e-005
 2.505127e+000  3.323772e-004  2.265814e-005
 2.510749e+000  3.658533e-004  2.266381e-005
 2.516371e+000  3.957949e-004  2.261650e-005
 2.521993e+000  3.679860e-004  2.261961e-005
 2.527616e+000  3.687908e-004  2.262627e-005
 2.533238e+000  3.708070e-004  2.258626e-005
 2.538860e+000  3.113085e-004  2.255555e-005
 2.544482e+000  3.081455e-004  2.252551e-005
 2.550104e+000  3.450918e-004  2.254515e-005
 2.555726e+000  3.685766e-004  2.255689e-005
 2.561347e+000  3.721647e-004  2.250957e-005
 2.566969e+000  3.835082e-004  2.251007e-005
 2.572591e+000  3.888935e-004  2.245404e-005
 2.578213e+000  3.775711e-004  2.245361e-005
 2.583834e+000  4.006469e-004  2.243031e-005
 2.589456e+000  4.063594e-004  2.242706e-005
 2.595078e+000  3.444107e-004  2.239200e-005
 2.600699e+000  3.191583e-004  2.233986e-005
 2.606321e+000  2.504895e-004  2.234943e-005
 2.611942e+000  2.670356e-004  2.231385e-005
 2.617563e+000  2.817866e-004  2.230927e-005
 2.623185e+000  2.381211e-004  2.229184e-005
 2.628806e+000  2.335055e-004  2.225857e-005
 2.634427e+000  2.612179e-004  2.227382e-005
 2.640048e+000  2.801384e-004  2.222252e-005
 2.645670e+000  3.126561e-004  2.222340e-005
 2.651291e+000  3.411794e-004  2.220990e-005
 2.656912e+000  2.893871e-004  2.220124e-005
 2.662533e+000  2.571945e-004  2.220164e-005
 2.668154e+000  3.070056e-004  2.214433e-005
 2.673774e+000  3.220312e-004  2.218958e-005
 2.679395e+000  3.725307e-004  2.217284e-005
 2.685016e+000  3.474905e-004  2.213640e-005
 2.690637e+000  3.208942e-004  2.211144e-005
 2.696257e+000  3.062780e-004  2.207405e-005
 2.701878e+000  2.556121e-004  2.209382e-005
 2.707499e+000  2.571609e-004  2.206106e-005
 2.713119e+000  3.616010e-004  2.206231e-005
 2.718740e+000  3.451013e-004  2.204325e-005
 2.724360e+000  3.178354e-004  2.202016e-005
 2.729980e+000  2.817691e-004  2.202696e-005
 2.735601e+000  2.528913e-004  2.197046e-005
 2.741221e+000  2.235056e-004  2.196388e-005
 2.746841e+000  3.249476e-004  2.195769e-005
 2.752461e+000  4.055783e-004  2.196799e-005
 2.758081e+000  3.269221e-004  2.196850e-005
 2.763701e+000  3.394128e-004  2.192509e-005
 2.769321e+000  3.371462e-004  2.195095e-005
 2.774941e+000  3.527528e-004  2.189554e-005
 2.780561e+000  3.517951e-004  2.188492e-005
 2.786181e+000  2.870266e-004  2.188404e-005
 2.791801e+000  2.825870e-004  2.181969e-005
 2.797420e+000  3.036686e-004  2.185482e-005
 2.803040e+000  2.611801e-004  2.180115e-005
 2.808660e+000  2.888615e-004  2.182669e-005
 2.814279e+000  3.133057e-004  2.178731e-005
 2.819899e+000  2.873283e-004  2.177373e-005
 2.825518e+000  2.982762e-004  2.180046e-005
 2.831137e+000  2.844700e-004  2.177015e-005
 2.836757e+000  3.107776e-004  2.178995e-005
 2.842376e+000  2.731295e-004  2.174586e-005
 2.847995e+000  2.380646e-004  2.171951e-005
 2.853614e+000  2.236478e-004  2.170486e-005
 2.859234e+000  2.308005e-004  2.166797e-005
 2.864853e+000  2.322465e-004  2.168002e-005
 2.870472e+000  2.175174e-004  2.163179e-005
 2.876091e+000  2.266509e-004  2.164538e-005
 2.881709e+000  2.245489e-004  2.162975e-005
 2.887328e+000  2.279176e-004  2.161626e-005
 2.892947e+000  2.920882e-004  2.160858e-005
 2.898566e+000  3.533996e-004  2.160368e-005
 2.904184e+000  3.842841e-004  2.161934e-005
 2.909803e+000  3.148436e-004  2.158011e-005
 2.915422e+000  2.583586e-004  2.153759e-005
 2.921040e+000  2.618322e-004  2.150340e-005
 2.926659e+000  2.842927e-004  2.146736e-005
 2.932277e+000  3.054563e-004  2.144284e-005
 2.937895e+000  3.127271e-004  2.141353e-005
 2.943514e+000  2.804810e-004  2.138325e-005
 2.949132e+000  2.293076e-004  2.136215e-005
 2.954750e+000  2.472367e-004  2.133789e-005
 2.960368e+000  2.974568e-004  2.131634e-005
 2.965986e+000  2.658891e-004  2.127577e-005
 2.971604e+000  2.447154e-004  2.126713e-005
 2.977222e+000  2.841101e-004  2.123434e-005
 2.982840e+000  3.005979e-004  2.121890e-005
 2.988458e+000  2.669457e-004  2.123450e-005
