Sample description: Sub_Ave_arc4_0073_818-Ave_Tp_0072_315
Sample: Sub_Ave_arc4_00  c= 0 mg/ml  Code: 
 2.505125e+000  3.960017e-004  2.411570e-005
 2.510747e+000  3.549756e-004  2.411473e-005
 2.516369e+000  4.115069e-004  2.409387e-005
 2.521992e+000  3.985513e-004  2.408009e-005
 2.527614e+000  3.479940e-004  2.406665e-005
 2.533236e+000  3.352591e-004  2.400990e-005
 2.538858e+000  3.344655e-004  2.399540e-005
 2.544480e+000  3.009931e-004  2.396604e-005
 2.550102e+000  3.786840e-004  2.400369e-005
 2.555724e+000  4.063252e-004  2.400998e-005
 2.561346e+000  3.603770e-004  2.394117e-005
 2.566968e+000  3.945335e-004  2.395677e-005
 2.572589e+000  3.933343e-004  2.390012e-005
 2.578211e+000  3.280022e-004  2.388831e-005
 2.583833e+000  2.673299e-004  2.383537e-005
 2.589454e+000  2.566079e-004  2.381175e-005
 2.595076e+000  2.481017e-004  2.379470e-005
 2.600697e+000  2.695936e-004  2.375091e-005
 2.606319e+000  2.851848e-004  2.377694e-005
 2.611940e+000  2.999114e-004  2.372822e-005
 2.617562e+000  2.614611e-004  2.371946e-005
 2.623183e+000  2.433003e-004  2.371199e-005
 2.628804e+000  2.356759e-004  2.367050e-005
 2.634426e+000  2.001231e-004  2.367242e-005
 2.640047e+000  2.199337e-004  2.362179e-005
 2.645668e+000  2.462643e-004  2.363819e-005
 2.651289e+000  2.608026e-004  2.361684e-005
 2.656910e+000  2.070747e-004  2.358274e-005
 2.662531e+000  2.178710e-004  2.359761e-005
 2.668152e+000  2.739897e-004  2.355450e-005
 2.673773e+000  2.471624e-004  2.358237e-005
 2.679393e+000  2.120686e-004  2.353179e-005
 2.685014e+000  1.690808e-004  2.351312e-005
 2.690635e+000  2.019909e-004  2.351723e-005
 2.696256e+000  2.915241e-004  2.349087e-005
 2.701876e+000  3.016487e-004  2.351073e-005
 2.707497e+000  2.170983e-004  2.344141e-005
 2.713117e+000  1.964013e-004  2.341808e-005
 2.718738e+000  1.815007e-004  2.339781e-005
 2.724358e+000  1.536969e-004  2.336987e-005
 2.729978e+000  1.518684e-004  2.338579e-005
 2.735599e+000  1.881359e-004  2.335611e-005
 2.741219e+000  2.231830e-004  2.338060e-005
 2.746839e+000  2.236999e-004  2.335089e-005
 2.752459e+000  1.919077e-004  2.332188e-005
 2.758079e+000  1.920353e-004  2.332519e-005
 2.763699e+000  1.462828e-004  2.326112e-005
 2.769319e+000  1.336328e-004  2.328970e-005
 2.774939e+000  1.470679e-004  2.323542e-005
 2.780559e+000  1.656041e-004  2.322726e-005
 2.786179e+000  1.628042e-004  2.323960e-005
 2.791799e+000  2.048037e-004  2.318193e-005
 2.797418e+000  2.182729e-004  2.322182e-005
 2.803038e+000  1.711766e-004  2.314770e-005
 2.808658e+000  1.729201e-004  2.317619e-005
 2.814277e+000  1.715866e-004  2.314591e-005
 2.819897e+000  1.174880e-004  2.311411e-005
 2.825516e+000  4.734127e-005  2.311270e-005
 2.831136e+000  5.134361e-005  2.307023e-005
 2.836755e+000  6.484790e-005  2.308994e-005
 2.842374e+000  3.960257e-005  2.306272e-005
 2.847993e+000  9.459734e-005  2.306152e-005
 2.853613e+000  1.492637e-004  2.305218e-005
 2.859232e+000  1.106815e-004  2.301180e-005
 2.864851e+000  9.809502e-005  2.303494e-005
 2.870470e+000  9.288269e-005  2.298801e-005
 2.876089e+000  5.584260e-005  2.298394e-005
 2.881708e+000  4.123236e-005  2.294638e-005
 2.887326e+000  1.140204e-004  2.296354e-005
 2.892945e+000  1.331178e-004  2.294175e-005
 2.898564e+000  1.275016e-004  2.292199e-005
 2.904183e+000  8.384854e-005  2.291522e-005
 2.909801e+000  6.631855e-005  2.289494e-005
 2.915420e+000  6.313847e-005  2.285170e-005
 2.921038e+000  1.110634e-004  2.282958e-005
 2.926657e+000  1.229393e-004  2.279747e-005
 2.932275e+000  6.987642e-005  2.274930e-005
 2.937893e+000  3.831641e-005  2.270861e-005
 2.943512e+000  5.989345e-005  2.268377e-005
 2.949130e+000  7.133659e-005  2.265731e-005
 2.954748e+000  7.737620e-005  2.261793e-005
