Sample description: DCC56ArgN11 AMS
Sample: DCC56ArgN11 AMS  c= 3.8800 mg/ml  Code: DArgN11
Parent(s): processed/subtracted/DArgN11_0024_sub.dat
  6.224950e-01   3.132175e+02   7.530966e+00
  6.244910e-01   3.256588e+02   7.631995e+00
  6.264870e-01   3.229064e+02   7.687675e+00
  6.284830e-01   3.217938e+02   7.842820e+00
  6.304790e-01   3.008005e+02   7.702526e+00
  6.324750e-01   3.132101e+02   7.847080e+00
  6.344710e-01   3.057665e+02   7.837964e+00
  6.364670e-01   3.083559e+02   7.839758e+00
  6.384630e-01   3.240472e+02   7.870487e+00
  6.404590e-01   2.987791e+02   7.718193e+00
  6.424550e-01   3.112822e+02   7.986593e+00
  6.444510e-01   2.934758e+02   7.903505e+00
  6.464470e-01   3.027242e+02   7.991961e+00
  6.484430e-01   2.971758e+02   7.927959e+00
  6.504390e-01   2.839363e+02   7.819183e+00
  6.524350e-01   2.896160e+02   7.932250e+00
  6.544310e-01   2.780892e+02   7.880760e+00
  6.564270e-01   2.892918e+02   7.925340e+00
  6.584230e-01   2.798698e+02   7.909242e+00
  6.604190e-01   2.881825e+02   7.826229e+00
  6.624150e-01   2.669443e+02   7.906289e+00
  6.644110e-01   2.871144e+02   7.821918e+00
  6.664070e-01   2.892616e+02   7.916101e+00
  6.684030e-01   2.587384e+02   7.840077e+00
  6.703990e-01   2.743389e+02   7.848541e+00
  6.723950e-01   2.767247e+02   7.887291e+00
  6.743910e-01   2.718317e+02   7.670495e+00
  6.763870e-01   2.706688e+02   7.682871e+00
  6.783830e-01   2.666474e+02   7.564701e+00
  6.803800e-01   2.674155e+02   7.605178e+00
  6.823760e-01   2.703876e+02   7.503539e+00
  6.843720e-01   2.730598e+02   7.468343e+00
  6.863680e-01   2.605131e+02   7.498982e+00
  6.883640e-01   2.557325e+02   7.384057e+00
  6.903600e-01   2.558729e+02   7.421861e+00
  6.923560e-01   2.605111e+02   7.342683e+00
  6.943520e-01   2.532227e+02   7.310784e+00
  6.963480e-01   2.582534e+02   7.386188e+00
  6.983440e-01   2.561735e+02   7.258307e+00
  7.003400e-01   2.497598e+02   7.279397e+00
  7.023360e-01   2.464149e+02   7.169149e+00
  7.043320e-01   2.556969e+02   7.227892e+00
  7.063280e-01   2.642358e+02   7.268224e+00
  7.083240e-01   2.547093e+02   7.128534e+00
  7.103200e-01   2.491719e+02   7.229613e+00
  7.123160e-01   2.495330e+02   7.088510e+00
  7.143120e-01   2.256005e+02   7.082198e+00
  7.163080e-01   2.428510e+02   7.074631e+00
  7.183040e-01   2.385229e+02   7.035155e+00
  7.203000e-01   2.360879e+02   7.067296e+00
  7.222960e-01   2.203407e+02   6.921531e+00
  7.242920e-01   2.421624e+02   6.971351e+00
  7.262880e-01   2.224057e+02   6.987487e+00
  7.282840e-01   2.355332e+02   6.966668e+00
  7.302800e-01   2.158626e+02   6.934840e+00
  7.322760e-01   2.293495e+02   6.907379e+00
  7.342720e-01   2.262588e+02   6.871616e+00
  7.362680e-01   2.226503e+02   6.821673e+00
  7.382640e-01   2.065655e+02   6.784363e+00
  7.402600e-01   2.248021e+02   6.840825e+00
  7.422560e-01   2.163168e+02   6.811742e+00
  7.442520e-01   2.195977e+02   6.810098e+00
  7.462480e-01   2.246536e+02   6.758474e+00
  7.482440e-01   2.025394e+02   6.743740e+00
  7.502400e-01   2.270570e+02   6.731889e+00
  7.522360e-01   2.239670e+02   6.754126e+00
  7.542320e-01   2.149028e+02   6.738180e+00
  7.562280e-01   2.108567e+02   6.664732e+00
  7.582240e-01   2.032750e+02   6.672990e+00
  7.602200e-01   2.173173e+02   6.645956e+00
  7.622160e-01   2.025807e+02   6.649521e+00
  7.642120e-01   2.134840e+02   6.645956e+00
  7.662090e-01   2.163211e+02   6.626562e+00
  7.682050e-01   2.064139e+02   6.617064e+00
  7.702010e-01   2.169799e+02   6.598335e+00
  7.721970e-01   2.114948e+02   6.700843e+00
  7.741930e-01   2.080709e+02   6.647508e+00
  7.761890e-01   2.047023e+02   6.576454e+00
  7.781850e-01   1.963701e+02   6.552649e+00
  7.801810e-01   2.112796e+02   6.556500e+00
  7.821770e-01   1.993155e+02   6.570541e+00
  7.841730e-01   2.020340e+02   6.520101e+00
  7.861690e-01   1.909567e+02   6.453758e+00
  7.881650e-01   1.974711e+02   6.524500e+00
  7.901610e-01   1.890683e+02   6.481415e+00
  7.921570e-01   1.961245e+02   6.510454e+00
  7.941530e-01   2.033874e+02   6.477735e+00
  7.961490e-01   1.922111e+02   6.436938e+00
  7.981450e-01   1.958356e+02   6.438015e+00
  8.001410e-01   1.897446e+02   6.412923e+00
  8.021370e-01   1.903026e+02   6.414686e+00
  8.041330e-01   1.847776e+02   6.359327e+00
  8.061290e-01   1.911729e+02   6.433753e+00
  8.081250e-01   1.852876e+02   6.382289e+00
  8.101210e-01   1.900191e+02   6.342863e+00
  8.121170e-01   1.863384e+02   6.297887e+00
  8.141130e-01   1.817095e+02   6.310082e+00
  8.161090e-01   1.783562e+02   6.386995e+00
  8.181050e-01   1.784446e+02   6.255075e+00
  8.201010e-01   1.817464e+02   6.342706e+00
  8.220970e-01   1.708412e+02   6.288363e+00
  8.240930e-01   1.716912e+02   6.239317e+00
  8.260890e-01   1.661459e+02   6.213915e+00
  8.280850e-01   1.670147e+02   6.190253e+00
  8.300810e-01   1.685363e+02   6.197825e+00
  8.320770e-01   1.655149e+02   6.212678e+00
  8.340730e-01   1.708992e+02   6.153845e+00
  8.360690e-01   1.714765e+02   6.214966e+00
  8.380650e-01   1.655845e+02   6.134897e+00
  8.400610e-01   1.730714e+02   6.248134e+00
  8.420570e-01   1.705982e+02   6.150477e+00
  8.440530e-01   1.707247e+02   6.164034e+00
  8.460490e-01   1.665041e+02   6.142716e+00
  8.480450e-01   1.614575e+02   6.064951e+00
  8.500410e-01   1.489026e+02   6.088840e+00
  8.520370e-01   1.598106e+02   6.070077e+00
  8.540340e-01   1.519943e+02   6.070745e+00
  8.560300e-01   1.607631e+02   6.134402e+00
  8.580260e-01   1.574041e+02   6.023108e+00
  8.600220e-01   1.655843e+02   6.092716e+00
  8.620180e-01   1.494572e+02   5.950131e+00
  8.640140e-01   1.608652e+02   6.070232e+00
  8.660100e-01   1.625198e+02   6.020531e+00
  8.680060e-01   1.626552e+02   5.997474e+00
  8.700020e-01   1.617647e+02   6.033827e+00
  8.719980e-01   1.400554e+02   5.960649e+00
  8.739940e-01   1.596541e+02   6.020894e+00
  8.759900e-01   1.565946e+02   5.954101e+00
  8.779860e-01   1.465227e+02   5.942848e+00
  8.799820e-01   1.517637e+02   5.963606e+00
  8.819780e-01   1.437619e+02   5.928441e+00
  8.839740e-01   1.509062e+02   5.975791e+00
  8.859700e-01   1.452250e+02   5.883905e+00
  8.879660e-01   1.443119e+02   5.912992e+00
  8.899620e-01   1.431309e+02   5.922345e+00
  8.919580e-01   1.416433e+02   5.904902e+00
  8.939540e-01   1.462103e+02   5.859291e+00
  8.959500e-01   1.438570e+02   5.816070e+00
  8.979460e-01   1.419781e+02   5.821188e+00
  8.999420e-01   1.462936e+02   5.814773e+00
  9.019380e-01   1.359918e+02   5.800799e+00
  9.039340e-01   1.360887e+02   5.810714e+00
  9.059300e-01   1.404835e+02   5.788085e+00
  9.079260e-01   1.431273e+02   5.824178e+00
  9.099220e-01   1.483541e+02   5.801147e+00
  9.119180e-01   1.469157e+02   5.817863e+00
  9.139140e-01   1.379786e+02   5.784402e+00
  9.159100e-01   1.395265e+02   5.758549e+00
  9.179060e-01   1.392892e+02   5.736639e+00
  9.199020e-01   1.410157e+02   5.751294e+00
  9.218980e-01   1.314250e+02   5.716675e+00
  9.238940e-01   1.299466e+02   5.751711e+00
  9.258900e-01   1.412044e+02   5.770698e+00
  9.278860e-01   1.385905e+02   5.739330e+00
  9.298820e-01   1.287327e+02   5.727446e+00
  9.318780e-01   1.265990e+02   5.724853e+00
  9.338740e-01   1.308180e+02   5.720121e+00
  9.358700e-01   1.281938e+02   5.691747e+00
  9.378660e-01   1.320059e+02   5.721237e+00
  9.398620e-01   1.355284e+02   5.699495e+00
  9.418590e-01   1.319338e+02   5.700652e+00
  9.438550e-01   1.288477e+02   5.670634e+00
  9.458510e-01   1.248727e+02   5.649227e+00
  9.478470e-01   1.303103e+02   5.683258e+00
  9.498430e-01   1.230119e+02   5.670613e+00
  9.518390e-01   1.191441e+02   5.618649e+00
  9.538350e-01   1.147343e+02   5.591317e+00
  9.558310e-01   1.323789e+02   5.670253e+00
  9.578270e-01   1.230951e+02   5.609729e+00
  9.598230e-01   1.205296e+02   5.626399e+00
  9.618190e-01   1.210178e+02   5.590727e+00
  9.638150e-01   1.194260e+02   5.593332e+00
  9.658110e-01   1.206095e+02   5.599469e+00
  9.678070e-01   1.175278e+02   5.563889e+00
  9.698030e-01   1.220536e+02   5.596216e+00
  9.717990e-01   1.171428e+02   5.562351e+00
  9.737950e-01   1.093273e+02   5.553170e+00
  9.757910e-01   1.213794e+02   5.592351e+00
  9.777870e-01   1.173964e+02   5.504392e+00
  9.797830e-01   1.051381e+02   5.558407e+00
  9.817790e-01   1.137582e+02   5.531990e+00
  9.837750e-01   1.160760e+02   5.543611e+00
  9.857710e-01   1.062134e+02   5.511680e+00
  9.877670e-01   1.154979e+02   5.489784e+00
  9.897630e-01   1.061113e+02   5.548260e+00
  9.917590e-01   1.209518e+02   5.490621e+00
  9.937550e-01   1.161531e+02   5.507490e+00
  9.957510e-01   1.159740e+02   5.487513e+00
  9.977470e-01   1.062015e+02   5.477157e+00
  9.997430e-01   1.032070e+02   5.515229e+00
  1.001740e+00   1.046680e+02   5.430178e+00
  1.003740e+00   1.129714e+02   5.486562e+00
  1.005730e+00   9.890876e+01   5.426441e+00
  1.007730e+00   1.040294e+02   5.466451e+00
  1.009720e+00   1.119680e+02   5.481992e+00
  1.011720e+00   1.131392e+02   5.436454e+00
  1.013720e+00   1.038794e+02   5.467562e+00
  1.015710e+00   1.056709e+02   5.398351e+00
  1.017710e+00   1.020005e+02   5.423789e+00
  1.019700e+00   1.004418e+02   5.392149e+00
  1.021700e+00   9.418505e+01   5.366278e+00
  1.023700e+00   1.008655e+02   5.438930e+00
  1.025690e+00   1.022265e+02   5.365276e+00
  1.027690e+00   9.440103e+01   5.426861e+00
  1.029680e+00   1.034098e+02   5.345572e+00
  1.031680e+00   1.074696e+02   5.358606e+00
  1.033680e+00   1.049869e+02   5.413722e+00
  1.035670e+00   1.023371e+02   5.346317e+00
  1.037670e+00   1.033613e+02   5.359193e+00
  1.039660e+00   1.031773e+02   5.323500e+00
  1.041660e+00   1.017327e+02   5.330539e+00
  1.043660e+00   1.033709e+02   5.384469e+00
  1.045650e+00   9.688247e+01   5.279155e+00
  1.047650e+00   9.526572e+01   5.349706e+00
  1.049640e+00   9.694716e+01   5.269456e+00
  1.051640e+00   8.999510e+01   5.279977e+00
  1.053640e+00   9.369845e+01   5.304320e+00
  1.055630e+00   9.825490e+01   5.262570e+00
  1.057630e+00   9.459974e+01   5.293688e+00
  1.059620e+00   9.764716e+01   5.248059e+00
  1.061620e+00   9.513557e+01   5.290227e+00
  1.063620e+00   9.705361e+01   5.364678e+00
  1.065610e+00   9.137010e+01   5.355729e+00
  1.067610e+00   9.576830e+01   5.477070e+00
  1.069600e+00   9.355722e+01   5.415804e+00
  1.071600e+00   9.675515e+01   5.470776e+00
  1.073600e+00   9.191546e+01   5.478209e+00
  1.075590e+00   8.858660e+01   5.457549e+00
  1.077590e+00   8.101985e+01   5.521000e+00
  1.079580e+00   8.256521e+01   5.471853e+00
  1.081580e+00   9.307680e+01   5.567286e+00
  1.083580e+00   8.051134e+01   5.495485e+00
  1.085570e+00   8.851985e+01   5.602858e+00
  1.087570e+00   8.922010e+01   5.568387e+00
  1.089560e+00   9.320644e+01   5.558536e+00
  1.091560e+00   8.345361e+01   5.574572e+00
  1.093560e+00   8.944407e+01   5.626500e+00
  1.095550e+00   8.101005e+01   5.619307e+00
  1.097550e+00   8.868325e+01   5.491936e+00
  1.099540e+00   8.274072e+01   5.491946e+00
  1.101540e+00   9.023067e+01   5.423961e+00
  1.103540e+00   7.869330e+01   5.402263e+00
  1.105530e+00   8.508479e+01   5.411649e+00
  1.107530e+00   8.510644e+01   5.338760e+00
  1.109520e+00   9.498505e+01   5.396979e+00
  1.111520e+00   8.564124e+01   5.340345e+00
  1.113520e+00   8.760206e+01   5.309294e+00
  1.115510e+00   8.777706e+01   5.338255e+00
  1.117510e+00   8.707500e+01   5.263284e+00
  1.119500e+00   7.865387e+01   5.295296e+00
  1.121500e+00   8.829510e+01   5.247085e+00
  1.123500e+00   8.338634e+01   5.223979e+00
  1.125490e+00   8.734871e+01   5.247938e+00
  1.127490e+00   8.912861e+01   5.257082e+00
  1.129480e+00   7.813737e+01   5.209402e+00
  1.131480e+00   7.563170e+01   5.169791e+00
  1.133480e+00   7.766211e+01   5.184108e+00
  1.135470e+00   7.217294e+01   5.196802e+00
  1.137470e+00   8.578428e+01   5.157791e+00
