Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: HiswoC1
Parent(s): mono_127_cut.dat mono_125_cut.dat mono_123_cut.dat
 9.395930e-001  6.365475e+000  1.585148e-001
 9.423290e-001  6.177250e+000  1.554621e-001
 9.450640e-001  6.191650e+000  1.584744e-001
 9.477990e-001  6.550925e+000  1.602648e-001
 9.505340e-001  6.178800e+000  1.554807e-001
 9.532690e-001  6.214975e+000  1.552876e-001
 9.560040e-001  6.082750e+000  1.553976e-001
 9.587390e-001  6.259025e+000  1.594061e-001
 9.614740e-001  5.992275e+000  1.594715e-001
 9.642090e-001  5.976875e+000  1.529643e-001
 9.669440e-001  5.988175e+000  1.562162e-001
 9.696790e-001  6.191525e+000  1.604612e-001
 9.724140e-001  5.984850e+000  1.592026e-001
 9.751500e-001  6.228975e+000  1.616469e-001
 9.778850e-001  5.813775e+000  1.531952e-001
 9.806200e-001  5.799650e+000  1.568923e-001
 9.833550e-001  5.724325e+000  1.527733e-001
 9.860900e-001  5.896100e+000  1.559293e-001
 9.888250e-001  5.732575e+000  1.527303e-001
 9.915600e-001  5.808875e+000  1.564618e-001
 9.942950e-001  5.463050e+000  1.575900e-001
 9.970300e-001  6.023525e+000  1.566896e-001
 9.997650e-001  5.241975e+000  1.519233e-001
 1.002500e+000  5.819775e+000  1.564369e-001
 1.005240e+000  5.799575e+000  1.578068e-001
 1.007970e+000  5.409025e+000  1.569419e-001
 1.010710e+000  5.514975e+000  1.532946e-001
 1.013440e+000  5.446650e+000  1.530357e-001
 1.016180e+000  5.603425e+000  1.559019e-001
 1.018910e+000  5.442525e+000  1.544329e-001
 1.021650e+000  5.670575e+000  1.583541e-001
 1.024380e+000  5.357325e+000  1.511664e-001
 1.027120e+000  5.420800e+000  1.553128e-001
 1.029850e+000  5.312925e+000  1.571897e-001
 1.032590e+000  5.140625e+000  1.516933e-001
 1.035320e+000  5.459000e+000  1.576719e-001
 1.038060e+000  5.423825e+000  1.573647e-001
 1.040790e+000  5.468375e+000  1.569323e-001
 1.043530e+000  4.993925e+000  1.507785e-001
 1.046260e+000  5.119400e+000  1.525686e-001
 1.049000e+000  5.123150e+000  1.536263e-001
 1.051730e+000  5.162825e+000  1.539082e-001
 1.054470e+000  5.099150e+000  1.558777e-001
 1.057200e+000  4.943750e+000  1.521817e-001
 1.059940e+000  4.991225e+000  1.521727e-001
 1.062670e+000  5.107350e+000  1.553347e-001
 1.065410e+000  5.078650e+000  1.551901e-001
 1.068140e+000  5.080425e+000  1.513883e-001
 1.070880e+000  5.029000e+000  1.540604e-001
 1.073610e+000  5.059800e+000  1.561732e-001
 1.076350e+000  4.862100e+000  1.521946e-001
 1.079080e+000  4.992775e+000  1.612333e-001
 1.081820e+000  4.849800e+000  1.521919e-001
 1.084550e+000  4.946050e+000  1.547903e-001
 1.087290e+000  4.575625e+000  1.525238e-001
 1.090020e+000  4.813275e+000  1.519320e-001
 1.092760e+000  4.572075e+000  1.527687e-001
 1.095490e+000  5.017650e+000  1.552879e-001
 1.098230e+000  4.536575e+000  1.523115e-001
 1.100960e+000  4.740850e+000  1.509365e-001
 1.103700e+000  4.702075e+000  1.484690e-001
 1.106430e+000  4.370225e+000  1.511340e-001
 1.109170e+000  4.846600e+000  1.535996e-001
 1.111900e+000  4.207625e+000  1.502488e-001
 1.114640e+000  4.555075e+000  1.525284e-001
 1.117370e+000  4.469500e+000  1.532330e-001
 1.120110e+000  4.623675e+000  1.543110e-001
 1.122840e+000  4.293325e+000  1.482521e-001
 1.125580e+000  4.197800e+000  1.521977e-001
 1.128310e+000  4.412400e+000  1.538889e-001
 1.131050e+000  4.385950e+000  1.526654e-001
 1.133780e+000  4.454100e+000  1.531404e-001
 1.136520e+000  4.486875e+000  1.498227e-001
 1.139250e+000  4.180300e+000  1.524256e-001
 1.141990e+000  4.049500e+000  1.477629e-001
 1.144720e+000  4.196500e+000  1.519999e-001
 1.147460e+000  4.390950e+000  1.527083e-001
 1.150200e+000  3.980775e+000  1.483674e-001
 1.152930e+000  4.059100e+000  1.472225e-001
 1.155670e+000  4.595400e+000  1.550930e-001
 1.158400e+000  4.177725e+000  1.512318e-001
 1.161140e+000  4.256000e+000  1.547376e-001
 1.163870e+000  4.023125e+000  1.512782e-001
 1.166610e+000  4.322075e+000  1.495232e-001
 1.169340e+000  4.065250e+000  1.525890e-001
 1.172080e+000  3.979925e+000  1.493980e-001
 1.174810e+000  3.885700e+000  1.503508e-001
 1.177550e+000  4.017750e+000  1.498348e-001
 1.180280e+000  3.773550e+000  1.488452e-001
 1.183020e+000  3.748675e+000  1.542643e-001
 1.185750e+000  3.855925e+000  1.484433e-001
 1.188490e+000  4.089275e+000  1.513529e-001
 1.191220e+000  3.830250e+000  1.531562e-001
 1.193960e+000  3.807250e+000  1.493953e-001
 1.196690e+000  3.801200e+000  1.501024e-001
 1.199430e+000  3.748950e+000  1.468495e-001
 1.202160e+000  3.937075e+000  1.518024e-001
 1.204900e+000  4.220700e+000  1.506111e-001
 1.207630e+000  3.926175e+000  1.515572e-001
 1.210370e+000  3.593025e+000  1.490695e-001
 1.213100e+000  3.621925e+000  1.503938e-001
 1.215840e+000  3.850675e+000  1.530842e-001
 1.221310e+000  3.733450e+000  1.503071e-001
 1.224040e+000  3.399475e+000  1.512632e-001
 1.226780e+000  3.603325e+000  1.537380e-001
 1.229510e+000  3.514800e+000  1.477835e-001
 1.232250e+000  3.338500e+000  1.594749e-001
 1.234980e+000  3.649725e+000  1.632185e-001
 1.237720e+000  3.630175e+000  1.689306e-001
 1.240450e+000  3.458600e+000  1.686215e-001
 1.243190e+000  3.699200e+000  1.711792e-001
 1.245920e+000  3.284425e+000  1.779118e-001
