 08-Dec-2011       (ela_006.dat - 1.0*Aver(ela_005.dat,ela_007.dat) /  1.8000 
 ela_006.dat  Conc = .18E+01  N1 =    1  N2 = 2170
 ela_005.dat  Conc = 0.0d+0   N1 =    1  N2 = 2170
 ela_007.dat  Conc = 0.0d+0   N1 =    1  N2 = 2170
  0.723990E+00  0.687839E+01  0.247848E+00
  0.726730E+00  0.764075E+01  0.248324E+00
  0.729471E+00  0.716939E+01  0.245144E+00
  0.732211E+00  0.651614E+01  0.241675E+00
  0.734951E+00  0.667761E+01  0.241633E+00
  0.737691E+00  0.654856E+01  0.242061E+00
  0.740432E+00  0.673278E+01  0.240626E+00
  0.743172E+00  0.629703E+01  0.241530E+00
  0.745912E+00  0.652744E+01  0.239504E+00
  0.748653E+00  0.632344E+01  0.239814E+00
  0.751393E+00  0.640547E+01  0.243805E+00
  0.754133E+00  0.617478E+01  0.236495E+00
  0.756874E+00  0.633847E+01  0.240640E+00
  0.759614E+00  0.635042E+01  0.239199E+00
  0.762354E+00  0.642867E+01  0.239427E+00
  0.765095E+00  0.652439E+01  0.242369E+00
  0.767835E+00  0.615881E+01  0.238265E+00
  0.770575E+00  0.605033E+01  0.239633E+00
  0.773315E+00  0.605350E+01  0.232839E+00
  0.776056E+00  0.604978E+01  0.238049E+00
  0.778796E+00  0.550581E+01  0.233579E+00
  0.781536E+00  0.576453E+01  0.233518E+00
  0.784277E+00  0.563733E+01  0.229089E+00
  0.787017E+00  0.612328E+01  0.235838E+00
  0.789757E+00  0.531442E+01  0.237795E+00
  0.792498E+00  0.566292E+01  0.234112E+00
  0.795238E+00  0.564153E+01  0.230920E+00
  0.797978E+00  0.532167E+01  0.233087E+00
  0.800719E+00  0.543908E+01  0.230770E+00
  0.803459E+00  0.549583E+01  0.233721E+00
  0.806199E+00  0.550881E+01  0.227601E+00
  0.808939E+00  0.536919E+01  0.232530E+00
  0.811680E+00  0.528006E+01  0.229657E+00
  0.814420E+00  0.533533E+01  0.232316E+00
  0.817160E+00  0.528642E+01  0.230699E+00
  0.819901E+00  0.555047E+01  0.231746E+00
  0.822641E+00  0.520600E+01  0.238378E+00
  0.825381E+00  0.522614E+01  0.235180E+00
  0.828122E+00  0.518906E+01  0.236778E+00
  0.830862E+00  0.461503E+01  0.232749E+00
  0.833602E+00  0.454647E+01  0.226929E+00
  0.836343E+00  0.484472E+01  0.235788E+00
  0.839083E+00  0.483039E+01  0.229740E+00
  0.841823E+00  0.508881E+01  0.235071E+00
  0.844563E+00  0.450706E+01  0.235440E+00
  0.847304E+00  0.455225E+01  0.233090E+00
  0.850044E+00  0.464594E+01  0.236521E+00
  0.852784E+00  0.446297E+01  0.230240E+00
  0.855525E+00  0.462683E+01  0.236172E+00
  0.858265E+00  0.431150E+01  0.234828E+00
  0.861005E+00  0.441486E+01  0.237566E+00
  0.863746E+00  0.441075E+01  0.232889E+00
  0.866486E+00  0.442592E+01  0.235524E+00
  0.869226E+00  0.431797E+01  0.234903E+00
  0.871967E+00  0.457069E+01  0.239332E+00
  0.874707E+00  0.418358E+01  0.235062E+00
  0.877447E+00  0.401481E+01  0.233924E+00
  0.880187E+00  0.426178E+01  0.234489E+00
  0.882928E+00  0.433411E+01  0.237139E+00
  0.885668E+00  0.425389E+01  0.234370E+00
  0.888408E+00  0.417700E+01  0.233672E+00
  0.891149E+00  0.387781E+01  0.235242E+00
  0.893889E+00  0.429536E+01  0.234174E+00
  0.896629E+00  0.388833E+01  0.236832E+00
  0.899370E+00  0.357239E+01  0.237309E+00
  0.902110E+00  0.425833E+01  0.234844E+00
  0.904850E+00  0.374303E+01  0.231871E+00
  0.907591E+00  0.410981E+01  0.236482E+00
  0.910331E+00  0.374706E+01  0.235811E+00
  0.913071E+00  0.370703E+01  0.237068E+00
  0.915812E+00  0.404544E+01  0.235455E+00
  0.918552E+00  0.375308E+01  0.232614E+00
  0.921292E+00  0.374067E+01  0.237113E+00
  0.924032E+00  0.384056E+01  0.233197E+00
  0.926773E+00  0.342431E+01  0.234015E+00
  0.929513E+00  0.359586E+01  0.237441E+00
  0.932253E+00  0.346175E+01  0.231832E+00
  0.934994E+00  0.342569E+01  0.233775E+00
  0.937734E+00  0.342511E+01  0.236599E+00
  0.940474E+00  0.337428E+01  0.237452E+00
  0.943215E+00  0.349639E+01  0.233389E+00
  0.945955E+00  0.321289E+01  0.232018E+00
  0.948695E+00  0.310700E+01  0.234543E+00
  0.951436E+00  0.341172E+01  0.235795E+00
  0.954176E+00  0.309828E+01  0.235903E+00
  0.956916E+00  0.302950E+01  0.237703E+00
  0.959656E+00  0.353433E+01  0.233280E+00
  0.962397E+00  0.324431E+01  0.234392E+00
  0.965137E+00  0.300981E+01  0.231008E+00
  0.967877E+00  0.336031E+01  0.236817E+00
  0.970618E+00  0.307800E+01  0.233306E+00
  0.973358E+00  0.303822E+01  0.236930E+00
  0.976098E+00  0.315508E+01  0.238776E+00
  0.978839E+00  0.286775E+01  0.232562E+00
  0.981579E+00  0.320367E+01  0.238475E+00
  0.984319E+00  0.321569E+01  0.233648E+00
  0.987060E+00  0.295953E+01  0.235583E+00
  0.989800E+00  0.306569E+01  0.234599E+00
  0.992540E+00  0.320297E+01  0.236413E+00
  0.995280E+00  0.305833E+01  0.233839E+00
  0.998021E+00  0.282183E+01  0.229959E+00
  0.100076E+01  0.255572E+01  0.231262E+00
  0.100350E+01  0.256856E+01  0.233405E+00
  0.100624E+01  0.256103E+01  0.238239E+00
  0.100898E+01  0.240897E+01  0.235432E+00
  0.101172E+01  0.275353E+01  0.234816E+00
  0.101446E+01  0.275675E+01  0.236118E+00
  0.101720E+01  0.290414E+01  0.235731E+00
  0.101994E+01  0.305675E+01  0.238367E+00
  0.102268E+01  0.259306E+01  0.234824E+00
  0.102542E+01  0.301500E+01  0.238579E+00
  0.102816E+01  0.228614E+01  0.236912E+00
  0.103090E+01  0.274097E+01  0.230953E+00
  0.103364E+01  0.232044E+01  0.236789E+00
  0.103639E+01  0.225744E+01  0.233647E+00
  0.103913E+01  0.246300E+01  0.230389E+00
  0.104187E+01  0.267525E+01  0.236204E+00
  0.104461E+01  0.243347E+01  0.232063E+00
  0.104735E+01  0.236242E+01  0.240982E+00
  0.105009E+01  0.250208E+01  0.230747E+00
  0.105283E+01  0.245331E+01  0.236137E+00
  0.105557E+01  0.235842E+01  0.232779E+00
  0.105831E+01  0.261778E+01  0.234385E+00
  0.106105E+01  0.266767E+01  0.236703E+00
  0.106379E+01  0.280822E+01  0.232975E+00
  0.106653E+01  0.204894E+01  0.233148E+00
  0.106927E+01  0.274361E+01  0.232075E+00
  0.107201E+01  0.228208E+01  0.232436E+00
  0.107475E+01  0.189906E+01  0.232769E+00
  0.107749E+01  0.230847E+01  0.232330E+00
  0.108023E+01  0.211478E+01  0.234157E+00
  0.108297E+01  0.210636E+01  0.231425E+00
  0.108571E+01  0.233436E+01  0.229981E+00
  0.108845E+01  0.248172E+01  0.235905E+00
  0.109119E+01  0.195789E+01  0.232186E+00
  0.109393E+01  0.249706E+01  0.232790E+00
  0.109667E+01  0.177328E+01  0.228471E+00
  0.109941E+01  0.223622E+01  0.233724E+00
  0.110215E+01  0.223881E+01  0.233103E+00
  0.110489E+01  0.201614E+01  0.232105E+00
  0.110763E+01  0.215458E+01  0.232509E+00
  0.111037E+01  0.182203E+01  0.229883E+00
  0.111311E+01  0.200000E+01  0.231075E+00
  0.111585E+01  0.201586E+01  0.230646E+00
  0.111859E+01  0.232447E+01  0.231366E+00
  0.112133E+01  0.237314E+01  0.235632E+00
  0.112407E+01  0.207319E+01  0.230344E+00
  0.112682E+01  0.207953E+01  0.235488E+00
  0.112956E+01  0.196328E+01  0.230609E+00
  0.113230E+01  0.201017E+01  0.229591E+00
  0.113504E+01  0.183689E+01  0.232952E+00
  0.113778E+01  0.183975E+01  0.233870E+00
  0.114052E+01  0.191483E+01  0.230193E+00
  0.114326E+01  0.184836E+01  0.229225E+00
  0.114600E+01  0.176886E+01  0.230881E+00
  0.114874E+01  0.198400E+01  0.233221E+00
  0.115148E+01  0.176542E+01  0.232736E+00
  0.115422E+01  0.192583E+01  0.229463E+00
  0.115696E+01  0.198958E+01  0.231635E+00
  0.115970E+01  0.153883E+01  0.230973E+00
  0.116244E+01  0.189331E+01  0.230822E+00
  0.116518E+01  0.177936E+01  0.232898E+00
  0.116792E+01  0.198747E+01  0.228289E+00
  0.117066E+01  0.192967E+01  0.232757E+00
  0.117340E+01  0.152936E+01  0.230574E+00
  0.117614E+01  0.169869E+01  0.230308E+00
  0.117888E+01  0.181353E+01  0.232076E+00
  0.118162E+01  0.186247E+01  0.227155E+00
  0.118436E+01  0.130864E+01  0.233684E+00
  0.118710E+01  0.181481E+01  0.233330E+00
  0.118984E+01  0.172897E+01  0.232831E+00
  0.119258E+01  0.215519E+01  0.231386E+00
  0.119532E+01  0.188042E+01  0.226066E+00
  0.119806E+01  0.199433E+01  0.232815E+00
  0.120080E+01  0.163256E+01  0.227866E+00
  0.120354E+01  0.163914E+01  0.230873E+00
  0.120628E+01  0.199608E+01  0.229971E+00
  0.120902E+01  0.138611E+01  0.226343E+00
  0.121176E+01  0.124892E+01  0.226570E+00
  0.121451E+01  0.149933E+01  0.228523E+00
  0.121725E+01  0.127550E+01  0.232404E+00
  0.121999E+01  0.156744E+01  0.231797E+00
  0.122273E+01  0.132103E+01  0.227474E+00
  0.122547E+01  0.160914E+01  0.231408E+00
  0.122821E+01  0.150456E+01  0.226428E+00
  0.123095E+01  0.141364E+01  0.245033E+00
  0.123369E+01  0.156753E+01  0.253374E+00
  0.123643E+01  0.167114E+01  0.253756E+00
  0.124191E+01  0.166400E+01  0.268066E+00
  0.124465E+01  0.132211E+01  0.268690E+00
  0.124739E+01  0.179408E+01  0.283445E+00
  0.125013E+01  0.193592E+01  0.290896E+00
  0.125287E+01  0.110750E+01  0.288231E+00
  0.125561E+01  0.139658E+01  0.294907E+00
  0.125835E+01  0.170503E+01  0.293021E+00
  0.126109E+01  0.166789E+01  0.291073E+00
  0.126383E+01  0.171317E+01  0.307031E+00
  0.126657E+01  0.164894E+01  0.277887E+00
  0.126931E+01  0.155872E+01  0.267668E+00
  0.127205E+01  0.142461E+01  0.263662E+00
  0.127479E+01  0.117211E+01  0.253744E+00
  0.127753E+01  0.143203E+01  0.248475E+00
  0.128027E+01  0.145039E+01  0.249018E+00
  0.128301E+01  0.119975E+01  0.243230E+00
  0.128575E+01  0.148083E+01  0.241071E+00
  0.128849E+01  0.141639E+01  0.242893E+00
  0.129123E+01  0.104303E+01  0.239653E+00
  0.129397E+01  0.102994E+01  0.237935E+00
  0.129671E+01  0.117183E+01  0.239633E+00
  0.129945E+01  0.129708E+01  0.237417E+00
  0.130220E+01  0.102103E+01  0.236072E+00
  0.130494E+01  0.914667E+00  0.236322E+00
  0.130768E+01  0.111908E+01  0.232248E+00
  0.131042E+01  0.135078E+01  0.234679E+00
  0.131316E+01  0.746667E+00  0.232291E+00
  0.131590E+01  0.103228E+01  0.232230E+00
  0.131864E+01  0.100264E+01  0.231148E+00
  0.132138E+01  0.112994E+01  0.232662E+00
  0.132412E+01  0.116314E+01  0.230653E+00
  0.132686E+01  0.143172E+01  0.233037E+00
  0.132960E+01  0.142547E+01  0.235637E+00
  0.133234E+01  0.121178E+01  0.231754E+00
  0.133508E+01  0.793806E+00  0.230307E+00
  0.133782E+01  0.118158E+01  0.232284E+00
  0.134056E+01  0.125236E+01  0.233920E+00
  0.134330E+01  0.808722E+00  0.231354E+00
  0.134604E+01  0.102778E+01  0.233010E+00
  0.134878E+01  0.130094E+01  0.233727E+00
  0.135152E+01  0.135844E+01  0.236001E+00
  0.135426E+01  0.109289E+01  0.229338E+00
  0.135700E+01  0.120961E+01  0.231520E+00
  0.135974E+01  0.140478E+01  0.231324E+00
  0.136248E+01  0.103419E+01  0.232015E+00
  0.136522E+01  0.122017E+01  0.231609E+00
  0.136796E+01  0.964250E+00  0.231887E+00
  0.137070E+01  0.102861E+01  0.227345E+00
  0.137344E+01  0.118644E+01  0.230533E+00
  0.137618E+01  0.122017E+01  0.232012E+00
  0.137892E+01  0.132722E+01  0.232371E+00
  0.138166E+01  0.123025E+01  0.229488E+00
  0.138440E+01  0.819917E+00  0.229787E+00
  0.138714E+01  0.104344E+01  0.231913E+00
  0.138988E+01  0.906472E+00  0.232602E+00
  0.139263E+01  0.867194E+00  0.230714E+00
  0.139537E+01  0.907722E+00  0.227511E+00
  0.139811E+01  0.111169E+01  0.228280E+00
  0.140085E+01  0.103347E+01  0.234623E+00
  0.140359E+01  0.914861E+00  0.228360E+00
