
Sample:   c= 0 mg/ml  Code: 
 2.668000e+000  1.215983e-004  9.197740e-004
 2.677000e+000  5.475731e-004  9.133656e-004
 2.687000e+000  1.608534e-003  9.044828e-004
 2.697000e+000  7.932959e-004  9.018943e-004
 2.707000e+000  1.794486e-004  8.986088e-004
 2.716000e+000  1.732946e-004  9.001896e-004
 2.726000e+000  3.576929e-004  8.969981e-004
 2.736000e+000  1.664095e-003  8.927207e-004
 2.746000e+000  2.573905e-004  8.878935e-004
 2.755000e+000 -2.839223e-004  8.818987e-004
 2.765000e+000  3.703193e-004  8.816781e-004
 2.775000e+000  8.899803e-004  8.849265e-004
 2.784000e+000  9.025537e-004  8.813389e-004
 2.794000e+000  9.074649e-004  8.818547e-004
 2.804000e+000  6.351517e-004  8.800889e-004
 2.814000e+000  6.508020e-004  8.747174e-004
 2.823000e+000  5.430704e-004  8.750893e-004
 2.833000e+000  4.614158e-004  8.754490e-004
 2.843000e+000  5.607956e-004  8.749806e-004
 2.853000e+000  1.003804e-003  8.811735e-004
 2.862000e+000  6.069207e-004  8.794660e-004
 2.872000e+000 -9.045260e-005  8.864745e-004
 2.882000e+000  1.790048e-003  8.814833e-004
 2.891000e+000  2.170193e-003  8.809036e-004
 2.901000e+000  1.969050e-003  8.807342e-004
 2.911000e+000  1.043330e-003  8.805663e-004
 2.921000e+000  9.188200e-006  8.792719e-004
 2.930000e+000  5.204162e-004  8.789022e-004
 2.940000e+000  1.513723e-003  8.818230e-004
 2.950000e+000  1.470811e-003  8.789923e-004
 2.959000e+000  8.085281e-004  8.816102e-004
 2.969000e+000  1.446135e-003  8.807340e-004
 2.979000e+000  1.826314e-004  8.812967e-004
 2.989000e+000 -5.291358e-004  8.841191e-004
 2.998000e+000  3.145492e-004  8.799571e-004
 3.008000e+000  5.434046e-004  8.806194e-004
range-from: 1
range-to: 298
