Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: anx
Parent(s): sub_anxa4_016.dat sub_anxa4_010.dat sub_anxa4_008.dat
  8.614000e-01   1.080521e+01   8.972824e-02
  8.640000e-01   1.071262e+01   8.984170e-02
  8.666000e-01   1.072154e+01   8.964237e-02
  8.691000e-01   1.045610e+01   8.964694e-02
  8.717000e-01   1.058059e+01   9.042834e-02
  8.743000e-01   1.030967e+01   8.797687e-02
  8.769000e-01   1.032442e+01   8.929044e-02
  8.795000e-01   1.031413e+01   8.967626e-02
  8.821000e-01   1.012757e+01   8.908602e-02
  8.846000e-01   1.005281e+01   8.734036e-02
  8.872000e-01   1.001852e+01   8.848520e-02
  8.898000e-01   9.906722e+00   8.787244e-02
  8.924000e-01   9.874829e+00   8.921582e-02
  8.950000e-01   9.805898e+00   8.726469e-02
  8.976000e-01   9.634774e+00   8.729276e-02
  9.002000e-01   9.597051e+00   8.824761e-02
  9.027000e-01   9.600823e+00   8.827855e-02
  9.053000e-01   9.544925e+00   8.783957e-02
  9.079000e-01   9.339506e+00   8.681992e-02
  9.105000e-01   9.457133e+00   8.690353e-02
  9.131000e-01   9.173868e+00   8.763568e-02
  9.157000e-01   9.333333e+00   8.715219e-02
  9.182000e-01   9.087449e+00   8.637280e-02
  9.208000e-01   9.067901e+00   8.643490e-02
  9.234000e-01   9.143690e+00   8.740790e-02
  9.260000e-01   9.051440e+00   8.721801e-02
  9.286000e-01   8.920439e+00   8.553872e-02
  9.312000e-01   8.734225e+00   8.547324e-02
  9.338000e-01   8.898491e+00   8.925770e-02
  9.363000e-01   8.559671e+00   8.572708e-02
  9.389000e-01   8.517490e+00   8.503059e-02
  9.415000e-01   8.533265e+00   8.581406e-02
  9.441000e-01   8.532922e+00   8.593112e-02
  9.467000e-01   8.407750e+00   8.516816e-02
  9.493000e-01   8.447531e+00   8.423955e-02
  9.518000e-01   8.216735e+00   8.533550e-02
  9.544000e-01   8.221193e+00   8.514835e-02
  9.570000e-01   8.132373e+00   8.541565e-02
  9.596000e-01   8.046982e+00   8.410121e-02
  9.622000e-01   7.912551e+00   8.314521e-02
  9.648000e-01   8.008230e+00   8.491720e-02
  9.674000e-01   8.005487e+00   8.436215e-02
  9.699000e-01   7.763717e+00   8.428210e-02
  9.725000e-01   7.933471e+00   8.301130e-02
  9.751000e-01   7.780864e+00   8.368145e-02
  9.777000e-01   7.685871e+00   8.363989e-02
  9.803000e-01   7.508573e+00   8.302200e-02
  9.829000e-01   7.640947e+00   8.293439e-02
  9.854000e-01   7.444787e+00   8.343997e-02
  9.880000e-01   7.426269e+00   8.328144e-02
  9.906000e-01   7.307956e+00   8.305506e-02
  9.932000e-01   7.292867e+00   8.191963e-02
  9.958000e-01   7.246228e+00   8.241850e-02
  9.984000e-01   7.216735e+00   8.246436e-02
  1.001000e+00   7.250686e+00   8.313148e-02
  1.004000e+00   7.216049e+00   8.280647e-02
  1.006000e+00   6.940672e+00   8.198258e-02
  1.009000e+00   6.913237e+00   8.634761e-02
  1.011000e+00   6.834705e+00   8.917605e-02
  1.014000e+00   6.895062e+00   9.148096e-02
  1.016000e+00   6.697188e+00   9.159499e-02
  1.019000e+00   6.560014e+00   9.625558e-02
  1.022000e+00   6.478395e+00   9.824957e-02
  1.024000e+00   6.517490e+00   1.000655e-01
  1.027000e+00   6.423868e+00   9.937621e-02
  1.029000e+00   6.408779e+00   1.034867e-01
  1.032000e+00   6.539095e+00   1.051029e-01
  1.035000e+00   6.223594e+00   1.063249e-01
  1.037000e+00   6.369684e+00   1.095412e-01
  1.040000e+00   6.311728e+00   1.013304e-01
  1.042000e+00   6.407407e+00   9.901908e-02
  1.045000e+00   6.189986e+00   9.694193e-02
  1.047000e+00   6.229767e+00   9.525115e-02
  1.050000e+00   6.015432e+00   9.338103e-02
  1.053000e+00   5.983539e+00   9.395594e-02
  1.055000e+00   5.868999e+00   9.291326e-02
  1.058000e+00   6.035665e+00   9.210274e-02
  1.060000e+00   5.992112e+00   9.031561e-02
  1.063000e+00   5.828532e+00   9.081605e-02
  1.066000e+00   5.782579e+00   8.922422e-02
  1.068000e+00   5.759945e+00   9.013936e-02
  1.071000e+00   5.851166e+00   8.973649e-02
  1.073000e+00   5.823388e+00   8.876514e-02
  1.076000e+00   5.801440e+00   8.833206e-02
  1.079000e+00   5.616255e+00   8.820949e-02
  1.081000e+00   5.530864e+00   8.759262e-02
  1.084000e+00   5.543553e+00   8.748246e-02
  1.086000e+00   5.310357e+00   8.771936e-02
  1.089000e+00   5.504801e+00   8.747680e-02
  1.091000e+00   5.414609e+00   8.659595e-02
  1.094000e+00   5.391632e+00   8.660667e-02
  1.097000e+00   5.375857e+00   8.632455e-02
  1.099000e+00   5.385802e+00   8.609922e-02
  1.102000e+00   5.225995e+00   8.656348e-02
  1.104000e+00   5.199588e+00   8.507425e-02
  1.107000e+00   4.977709e+00   8.420442e-02
  1.110000e+00   4.976680e+00   8.384107e-02
  1.112000e+00   5.105967e+00   8.314147e-02
  1.115000e+00   5.042867e+00   8.270436e-02
