Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: null
Parent(s): sub01.dat sub02.dat sub03.dat
 2.379667e+000  3.418750e-001  2.464373e-002
 2.384370e+000  3.743723e-001  2.469667e-002
 2.389073e+000  3.983224e-001  2.473368e-002
 2.393777e+000  3.486437e-001  2.465089e-002
 2.398480e+000  3.611888e-001  2.465062e-002
 2.403184e+000  3.800334e-001  2.462377e-002
 2.407887e+000  3.661531e-001  2.453664e-002
 2.412590e+000  3.676926e-001  2.455337e-002
 2.417294e+000  3.498101e-001  2.445842e-002
 2.421997e+000  3.559066e-001  2.445166e-002
 2.426700e+000  3.352881e-001  2.438602e-002
 2.431404e+000  3.612288e-001  2.444424e-002
 2.436107e+000  3.521195e-001  2.438387e-002
 2.440811e+000  3.441399e-001  2.435348e-002
 2.445514e+000  3.875787e-001  2.441612e-002
 2.450217e+000  3.906190e-001  2.438607e-002
 2.454921e+000  3.531586e-001  2.426997e-002
 2.459624e+000  3.497953e-001  2.422298e-002
 2.464327e+000  3.580812e-001  2.424311e-002
 2.469031e+000  3.413847e-001  2.420412e-002
 2.473734e+000  3.517298e-001  2.417814e-002
 2.478437e+000  3.977944e-001  2.426756e-002
 2.483141e+000  3.999382e-001  2.422772e-002
 2.487844e+000  3.571932e-001  2.410440e-002
 2.492548e+000  3.490656e-001  2.405581e-002
 2.497251e+000  3.424718e-001  2.404468e-002
 2.501954e+000  3.361655e-001  2.401028e-002
 2.506658e+000  3.947174e-001  2.413689e-002
 2.511361e+000  3.679137e-001  2.400934e-002
 2.516064e+000  3.703451e-001  2.399511e-002
 2.520768e+000  3.858617e-001  2.400088e-002
 2.525471e+000  3.628295e-001  2.395204e-002
 2.530175e+000  3.529243e-001  2.390138e-002
 2.534878e+000  3.527280e-001  2.387054e-002
 2.539581e+000  3.524631e-001  2.383278e-002
 2.544285e+000  3.070137e-001  2.372026e-002
 2.548988e+000  3.597525e-001  2.377939e-002
 2.553691e+000  3.627935e-001  2.371944e-002
 2.558395e+000  3.604143e-001  2.370270e-002
 2.563098e+000  3.528285e-001  2.370271e-002
 2.567801e+000  3.598063e-001  2.363718e-002
 2.572505e+000  3.812660e-001  2.363101e-002
 2.577208e+000  3.808257e-001  2.365315e-002
 2.581912e+000  3.851318e-001  2.360125e-002
 2.586615e+000  3.302334e-001  2.347786e-002
 2.591318e+000  3.412140e-001  2.349191e-002
 2.596022e+000  3.731052e-001  2.350014e-002
 2.600725e+000  3.727106e-001  2.348638e-002
 2.605428e+000  3.842326e-001  2.356853e-002
 2.610132e+000  3.919425e-001  2.355350e-002
 2.614835e+000  3.950156e-001  2.353187e-002
 2.619538e+000  3.641169e-001  2.348136e-002
 2.624242e+000  3.384955e-001  2.343637e-002
 2.628945e+000  3.919801e-001  2.348553e-002
 2.633649e+000  3.882012e-001  2.344263e-002
 2.638352e+000  3.558693e-001  2.336927e-002
 2.643055e+000  3.493398e-001  2.334970e-002
 2.647759e+000  3.467294e-001  2.333283e-002
 2.652462e+000  3.641578e-001  2.331069e-002
 2.657165e+000  3.854013e-001  2.334482e-002
 2.661869e+000  3.750729e-001  2.333686e-002
 2.666572e+000  3.887963e-001  2.332627e-002
 2.671276e+000  3.622823e-001  2.324588e-002
 2.675979e+000  3.552539e-001  2.321945e-002
