 27-May-2011       (david_102.dat - 1.0*Aver(david_101.dat,david_103.dat) /  5
david_102.da  Conc = .56E+01  N1 =    1  N2 = 2178
david_101.da  Conc = 0.0d+0   N1 =    1  N2 = 2178
david_103.da  Conc = 0.0d+0   N1 =    1  N2 = 2178
  0.110917E+01  0.312635E+01  0.982194E-01
  0.111190E+01  0.303988E+01  0.960837E-01
  0.111464E+01  0.304300E+01  0.978476E-01
  0.111737E+01  0.314664E+01  0.984148E-01
  0.112011E+01  0.319536E+01  0.988530E-01
  0.112284E+01  0.286024E+01  0.943726E-01
  0.112558E+01  0.300330E+01  0.969743E-01
  0.112831E+01  0.299629E+01  0.979745E-01
  0.113105E+01  0.275768E+01  0.965056E-01
  0.113378E+01  0.296560E+01  0.977887E-01
  0.113652E+01  0.294272E+01  0.952040E-01
  0.113925E+01  0.282260E+01  0.963328E-01
  0.114199E+01  0.286001E+01  0.937799E-01
  0.114472E+01  0.287580E+01  0.968441E-01
  0.114746E+01  0.279043E+01  0.966742E-01
  0.115020E+01  0.261996E+01  0.939393E-01
  0.115293E+01  0.266871E+01  0.935824E-01
  0.115567E+01  0.275119E+01  0.975423E-01
  0.115840E+01  0.267816E+01  0.957242E-01
  0.116114E+01  0.265764E+01  0.977676E-01
  0.116387E+01  0.270343E+01  0.958157E-01
  0.116661E+01  0.259127E+01  0.945962E-01
  0.116934E+01  0.266366E+01  0.969370E-01
  0.117208E+01  0.257385E+01  0.941058E-01
  0.117481E+01  0.239846E+01  0.948249E-01
  0.117755E+01  0.261151E+01  0.948892E-01
  0.118028E+01  0.246989E+01  0.936276E-01
  0.118302E+01  0.260181E+01  0.971700E-01
  0.118575E+01  0.253092E+01  0.945008E-01
  0.118849E+01  0.261244E+01  0.956155E-01
  0.119122E+01  0.249446E+01  0.963349E-01
  0.119396E+01  0.240693E+01  0.940565E-01
  0.119669E+01  0.246522E+01  0.943768E-01
  0.119943E+01  0.228404E+01  0.922624E-01
  0.120216E+01  0.245460E+01  0.956035E-01
  0.120490E+01  0.232552E+01  0.942959E-01
  0.120763E+01  0.223798E+01  0.949408E-01
  0.121037E+01  0.234235E+01  0.940972E-01
  0.121310E+01  0.222028E+01  0.939307E-01
  0.121584E+01  0.229241E+01  0.960354E-01
  0.122131E+01  0.217024E+01  0.938398E-01
  0.122404E+01  0.222426E+01  0.945833E-01
  0.122678E+01  0.227150E+01  0.966576E-01
  0.122951E+01  0.217357E+01  0.929801E-01
  0.123225E+01  0.220406E+01  0.993910E-01
  0.123498E+01  0.199991E+01  0.101741E+00
  0.123772E+01  0.217682E+01  0.105485E+00
  0.124045E+01  0.217732E+01  0.104660E+00
  0.124319E+01  0.206972E+01  0.106935E+00
  0.124592E+01  0.205455E+01  0.110995E+00
  0.124866E+01  0.204541E+01  0.109576E+00
  0.125139E+01  0.204117E+01  0.112840E+00
  0.125413E+01  0.191935E+01  0.114314E+00
  0.125686E+01  0.208850E+01  0.112075E+00
  0.125960E+01  0.186946E+01  0.112838E+00
  0.126233E+01  0.199331E+01  0.118452E+00
  0.126507E+01  0.202209E+01  0.109974E+00
  0.126780E+01  0.185510E+01  0.107844E+00
  0.127054E+01  0.200582E+01  0.100998E+00
  0.127327E+01  0.186043E+01  0.101529E+00
  0.127601E+01  0.192375E+01  0.989851E-01
  0.127874E+01  0.197484E+01  0.998176E-01
  0.128148E+01  0.174659E+01  0.971209E-01
  0.128421E+01  0.183850E+01  0.965765E-01
  0.128695E+01  0.178665E+01  0.942633E-01
  0.128968E+01  0.197799E+01  0.958180E-01
  0.129242E+01  0.172651E+01  0.945245E-01
  0.129515E+01  0.181278E+01  0.974215E-01
  0.129789E+01  0.167679E+01  0.919245E-01
  0.130062E+01  0.180775E+01  0.949886E-01
  0.130336E+01  0.179523E+01  0.942582E-01
  0.130609E+01  0.172488E+01  0.923844E-01
  0.130883E+01  0.160395E+01  0.939801E-01
  0.131157E+01  0.176067E+01  0.956663E-01
  0.131430E+01  0.169543E+01  0.953353E-01
  0.131704E+01  0.163565E+01  0.912071E-01
  0.131977E+01  0.171446E+01  0.936463E-01
  0.132251E+01  0.151795E+01  0.936205E-01
  0.132524E+01  0.155708E+01  0.937301E-01
  0.132798E+01  0.157235E+01  0.926987E-01
  0.133071E+01  0.168391E+01  0.953010E-01
  0.133345E+01  0.166666E+01  0.910343E-01
  0.133618E+01  0.160494E+01  0.935226E-01
  0.133892E+01  0.167324E+01  0.947252E-01
  0.134165E+01  0.150616E+01  0.911680E-01
  0.134439E+01  0.161737E+01  0.912094E-01
  0.134712E+01  0.150373E+01  0.929661E-01
  0.134986E+01  0.154576E+01  0.928413E-01
  0.135259E+01  0.157370E+01  0.922290E-01
  0.135533E+01  0.137275E+01  0.914427E-01
  0.135806E+01  0.147387E+01  0.913968E-01
  0.136080E+01  0.142973E+01  0.891130E-01
  0.136353E+01  0.151362E+01  0.911688E-01
  0.136627E+01  0.146210E+01  0.897943E-01
  0.136900E+01  0.145930E+01  0.923842E-01
  0.137174E+01  0.153213E+01  0.935929E-01
  0.137447E+01  0.130129E+01  0.912658E-01
  0.137721E+01  0.123437E+01  0.902934E-01
  0.137994E+01  0.148430E+01  0.892559E-01
  0.138268E+01  0.132653E+01  0.923534E-01
  0.138541E+01  0.138129E+01  0.906300E-01
  0.138815E+01  0.135798E+01  0.900291E-01
  0.139088E+01  0.140110E+01  0.908657E-01
  0.139362E+01  0.129031E+01  0.928746E-01
  0.139635E+01  0.129889E+01  0.911297E-01
  0.139909E+01  0.130322E+01  0.898378E-01
  0.140182E+01  0.116363E+01  0.913540E-01
  0.140456E+01  0.132659E+01  0.904680E-01
  0.140729E+01  0.118297E+01  0.896108E-01
  0.141003E+01  0.124398E+01  0.895927E-01
  0.141276E+01  0.133699E+01  0.900069E-01
  0.141550E+01  0.126676E+01  0.910207E-01
  0.141823E+01  0.125153E+01  0.905158E-01
  0.142097E+01  0.109730E+01  0.886681E-01
  0.142370E+01  0.126562E+01  0.907030E-01
  0.142644E+01  0.126378E+01  0.932164E-01
  0.142917E+01  0.103789E+01  0.880524E-01
  0.143191E+01  0.118163E+01  0.874931E-01
  0.143464E+01  0.109996E+01  0.907114E-01
  0.143738E+01  0.108424E+01  0.882678E-01
  0.144011E+01  0.106347E+01  0.885243E-01
  0.144285E+01  0.112034E+01  0.878981E-01
  0.144558E+01  0.133306E+01  0.920684E-01
  0.144832E+01  0.119067E+01  0.915131E-01
  0.145105E+01  0.116754E+01  0.903411E-01
  0.145379E+01  0.121371E+01  0.894069E-01
  0.145652E+01  0.121998E+01  0.878246E-01
  0.145926E+01  0.108099E+01  0.885640E-01
  0.146199E+01  0.108344E+01  0.878177E-01
  0.146473E+01  0.104615E+01  0.907790E-01
  0.146747E+01  0.109049E+01  0.891118E-01
  0.147020E+01  0.930746E+00  0.892115E-01
  0.147294E+01  0.920845E+00  0.887989E-01
  0.147567E+01  0.113922E+01  0.917701E-01
  0.147841E+01  0.103308E+01  0.885164E-01
  0.148114E+01  0.987518E+00  0.881990E-01
  0.148388E+01  0.106772E+01  0.860730E-01
  0.148661E+01  0.930872E+00  0.879075E-01
  0.148935E+01  0.107944E+01  0.873569E-01
  0.149208E+01  0.117495E+01  0.879969E-01
