 18-Jun-2007       (jari_010.dat - 1.0*jari_011.dat) /  7.8000
jari_010.dat  Conc = .78E+01  N1 =    1  N2 = 2154
jari_011.dat  Conc = 0.0d+0   N1 =    1  N2 = 2154
  0.137963E+01  0.127083E+02  0.169685E+00
  0.138195E+01  0.124074E+02  0.170279E+00
  0.138427E+01  0.124703E+02  0.169553E+00
  0.138658E+01  0.122817E+02  0.169087E+00
  0.138890E+01  0.121303E+02  0.170502E+00
  0.139122E+01  0.121329E+02  0.169049E+00
  0.139353E+01  0.114803E+02  0.170599E+00
  0.139585E+01  0.117201E+02  0.168597E+00
  0.139817E+01  0.118859E+02  0.169684E+00
  0.140049E+01  0.122044E+02  0.170958E+00
  0.140280E+01  0.119962E+02  0.167834E+00
  0.140512E+01  0.117179E+02  0.169540E+00
  0.140744E+01  0.116600E+02  0.168188E+00
  0.140975E+01  0.116783E+02  0.169686E+00
  0.141207E+01  0.115504E+02  0.169071E+00
  0.141439E+01  0.116133E+02  0.167733E+00
  0.141670E+01  0.115637E+02  0.169903E+00
  0.141902E+01  0.115681E+02  0.167585E+00
  0.142134E+01  0.116674E+02  0.168939E+00
  0.142366E+01  0.111181E+02  0.168240E+00
  0.142597E+01  0.109099E+02  0.167010E+00
  0.142829E+01  0.111940E+02  0.168985E+00
  0.143061E+01  0.111168E+02  0.167910E+00
  0.143292E+01  0.108367E+02  0.168529E+00
  0.143524E+01  0.108410E+02  0.167287E+00
  0.143756E+01  0.106286E+02  0.167379E+00
  0.143987E+01  0.108541E+02  0.168292E+00
  0.144219E+01  0.112759E+02  0.166642E+00
  0.144451E+01  0.111565E+02  0.166849E+00
  0.144683E+01  0.109410E+02  0.166842E+00
  0.144914E+01  0.108750E+02  0.168278E+00
  0.145146E+01  0.107917E+02  0.166837E+00
  0.145378E+01  0.107833E+02  0.166099E+00
