Sample description: N11 200mM AMS
Sample: N11 200mM AMS  c= .6000 mg/ml  Code: N11AMS
Parent(s): /tmp/qt_temp.n22813
  1.025690e+00   1.847604e+02   3.115131e+01
  1.027690e+00   1.675549e+02   3.132495e+01
  1.029680e+00   2.365576e+02   3.101611e+01
  1.031680e+00   2.115534e+02   3.084444e+01
  1.033680e+00   2.336168e+02   3.123648e+01
  1.035670e+00   1.938590e+02   3.078365e+01
  1.037670e+00   2.243181e+02   3.097423e+01
  1.039660e+00   1.845405e+02   3.069366e+01
  1.041660e+00   2.135917e+02   3.083332e+01
  1.043660e+00   2.499941e+02   3.091695e+01
  1.045650e+00   2.230609e+02   3.063377e+01
  1.047650e+00   2.507538e+02   3.101730e+01
  1.049640e+00   2.306996e+02   3.068487e+01
  1.051640e+00   1.887910e+02   3.085826e+01
  1.053640e+00   2.635022e+02   3.085689e+01
  1.055630e+00   2.444930e+02   3.044527e+01
  1.057630e+00   1.753225e+02   3.083858e+01
  1.059620e+00   2.184502e+02   3.039377e+01
  1.061620e+00   1.904549e+02   3.071689e+01
  1.063620e+00   2.349771e+02   3.105946e+01
  1.065610e+00   2.982574e+02   3.145363e+01
  1.067610e+00   2.209638e+02   3.179671e+01
  1.069600e+00   2.302762e+02   3.138081e+01
  1.071600e+00   1.930358e+02   3.177710e+01
  1.073600e+00   2.747342e+02   3.185387e+01
  1.075590e+00   2.101743e+02   3.207795e+01
  1.077590e+00   1.705917e+02   3.221733e+01
  1.079580e+00   2.451954e+02   3.200266e+01
  1.081580e+00   2.134149e+02   3.231502e+01
  1.083580e+00   2.142961e+02   3.204404e+01
  1.085570e+00   2.150097e+02   3.254347e+01
  1.087570e+00   2.110973e+02   3.252677e+01
  1.089560e+00   1.810471e+02   3.234651e+01
  1.091560e+00   1.971887e+02   3.261432e+01
  1.093560e+00   2.474790e+02   3.284924e+01
  1.095550e+00   1.757816e+02   3.260216e+01
  1.097550e+00   1.744807e+02   3.209371e+01
  1.099540e+00   1.715290e+02   3.188467e+01
  1.101540e+00   1.830317e+02   3.172907e+01
  1.103540e+00   1.819308e+02   3.158011e+01
  1.105530e+00   2.206456e+02   3.137328e+01
  1.107530e+00   2.325748e+02   3.104409e+01
  1.109520e+00   2.186103e+02   3.119237e+01
  1.111520e+00   1.985070e+02   3.109372e+01
  1.113520e+00   1.589973e+02   3.089646e+01
  1.115510e+00   2.799053e+02   3.116728e+01
  1.117510e+00   1.445378e+02   3.060982e+01
  1.119500e+00   2.567142e+02   3.102341e+01
  1.121500e+00   1.363745e+02   3.063613e+01
  1.123500e+00   2.430559e+02   3.079015e+01
  1.125490e+00   2.332541e+02   3.066239e+01
  1.127490e+00   1.915425e+02   3.049615e+01
  1.129480e+00   1.350080e+02   3.055100e+01
  1.131480e+00   1.654219e+02   3.045807e+01
  1.133480e+00   2.424091e+02   3.050193e+01
  1.135470e+00   1.635061e+02   3.043446e+01
  1.137470e+00   2.241315e+02   3.027661e+01
  1.139460e+00   1.547740e+02   3.021577e+01
  1.141460e+00   1.876737e+02   3.018071e+01
  1.143460e+00   1.811713e+02   3.015060e+01
