Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: Lytawt
Parent(s): lytawt_zc_new.dat
 8.766860e-001  8.214130e+000  1.315570e-001
 8.794220e-001  8.004630e+000  1.275040e-001
 8.821570e-001  7.983880e+000  1.287290e-001
 8.848920e-001  7.795400e+000  1.253230e-001
 8.876270e-001  7.931840e+000  1.302570e-001
 8.903620e-001  7.839850e+000  1.301630e-001
 8.930970e-001  7.611220e+000  1.272220e-001
 8.958320e-001  7.775790e+000  1.269530e-001
 8.985670e-001  7.952530e+000  1.307600e-001
 9.013020e-001  8.060150e+000  1.325100e-001
 9.040370e-001  7.732460e+000  1.306360e-001
 9.067720e-001  7.635360e+000  1.291560e-001
 9.095070e-001  7.739170e+000  1.299560e-001
 9.122430e-001  7.596780e+000  1.282360e-001
 9.149780e-001  7.394890e+000  1.286940e-001
 9.177130e-001  7.588570e+000  1.297070e-001
 9.204480e-001  7.416960e+000  1.289520e-001
 9.231830e-001  7.081660e+000  1.271340e-001
 9.259180e-001  7.496320e+000  1.303560e-001
 9.286530e-001  7.497760e+000  1.285660e-001
 9.313880e-001  7.222890e+000  1.249220e-001
 9.341230e-001  7.214560e+000  1.287320e-001
 9.368580e-001  7.180410e+000  1.279860e-001
 9.395930e-001  7.182390e+000  1.291990e-001
 9.423290e-001  6.989040e+000  1.261950e-001
 9.450640e-001  7.119500e+000  1.286300e-001
 9.477990e-001  7.079500e+000  1.293080e-001
 9.505340e-001  6.972640e+000  1.262080e-001
 9.532690e-001  6.864250e+000  1.261980e-001
 9.560040e-001  6.888450e+000  1.261820e-001
 9.587390e-001  6.882510e+000  1.296080e-001
 9.614740e-001  6.968810e+000  1.295550e-001
 9.642090e-001  6.656110e+000  1.238520e-001
 9.669440e-001  6.688900e+000  1.267710e-001
 9.696790e-001  6.875250e+000  1.296580e-001
 9.724140e-001  6.638040e+000  1.291270e-001
 9.751500e-001  6.607170e+000  1.294330e-001
 9.778850e-001  6.279740e+000  1.228730e-001
 9.806200e-001  6.529540e+000  1.262300e-001
 9.833550e-001  6.126840e+000  1.226040e-001
 9.860900e-001  6.214890e+000  1.251970e-001
 9.888250e-001  6.121990e+000  1.226350e-001
 9.915600e-001  6.267790e+000  1.252380e-001
 9.942950e-001  6.358220e+000  1.265180e-001
 9.970300e-001  6.375270e+000  1.254500e-001
 9.997650e-001  6.019870e+000  1.213210e-001
 1.002500e+000  6.160060e+000  1.251140e-001
 1.005240e+000  6.106920e+000  1.256830e-001
 1.007970e+000  6.084220e+000  1.257630e-001
 1.010710e+000  5.813210e+000  1.221710e-001
 1.013440e+000  5.984960e+000  1.222740e-001
 1.016180e+000  5.979740e+000  1.241730e-001
 1.018910e+000  5.691990e+000  1.229940e-001
 1.021650e+000  5.962300e+000  1.257290e-001
 1.024380e+000  5.686290e+000  1.201170e-001
 1.027120e+000  5.983870e+000  1.237770e-001
 1.029850e+000  5.837890e+000  1.251240e-001
 1.032590e+000  5.811690e+000  1.208320e-001
 1.035320e+000  5.640330e+000  1.244590e-001
 1.038060e+000  5.664120e+000  1.253140e-001
 1.040790e+000  5.803330e+000  1.249300e-001
 1.043530e+000  5.402810e+000  1.197630e-001
 1.046260e+000  5.236880e+000  1.211320e-001
 1.049000e+000  5.373820e+000  1.216260e-001
 1.051730e+000  5.535360e+000  1.225980e-001
 1.054470e+000  5.266050e+000  1.223700e-001
 1.057200e+000  5.373230e+000  1.205490e-001
 1.059940e+000  5.471380e+000  1.216440e-001
 1.062670e+000  5.389390e+000  1.219690e-001
 1.065410e+000  5.511460e+000  1.224670e-001
 1.068140e+000  5.098660e+000  1.195670e-001
 1.070880e+000  5.194890e+000  1.208050e-001
 1.073610e+000  5.139010e+000  1.223140e-001
 1.076350e+000  5.172130e+000  1.203780e-001
 1.079080e+000  5.490280e+000  1.262840e-001
 1.081820e+000  4.988240e+000  1.187390e-001
 1.084550e+000  4.894060e+000  1.211350e-001
 1.087290e+000  4.964020e+000  1.197500e-001
 1.090020e+000  4.874050e+000  1.191230e-001
 1.092760e+000  5.102630e+000  1.206150e-001
 1.095490e+000  4.845510e+000  1.216550e-001
 1.098230e+000  4.706510e+000  1.196080e-001
 1.100960e+000  4.732450e+000  1.196530e-001
 1.103700e+000  4.754420e+000  1.162640e-001
 1.106430e+000  4.821340e+000  1.189790e-001
 1.109170e+000  4.685760e+000  1.200760e-001
 1.111900e+000  4.545290e+000  1.179110e-001
 1.114640e+000  4.540130e+000  1.192670e-001
 1.117370e+000  4.680400e+000  1.195210e-001
 1.120110e+000  4.716140e+000  1.210360e-001
 1.122840e+000  4.315790e+000  1.149790e-001
 1.125580e+000  4.514950e+000  1.191230e-001
 1.128310e+000  4.500600e+000  1.202700e-001
 1.131050e+000  4.494150e+000  1.191580e-001
 1.133780e+000  4.238830e+000  1.191590e-001
 1.136520e+000  4.432430e+000  1.169840e-001
 1.139250e+000  4.416190e+000  1.186620e-001
 1.141990e+000  4.141180e+000  1.149340e-001
 1.144720e+000  4.272040e+000  1.187480e-001
 1.147460e+000  4.389060e+000  1.182110e-001
