 18-Oct-2007       (prot_024.dat - 1.0*Aver(prot_023.dat,prot_025.dat)) /  3.0
prot_024.dat  Conc = .30E+01  N1 =    1  N2 = 2164
prot_023.dat  Conc = 0.0d+0   N1 =    1  N2 = 2164
prot_025.dat  Conc = 0.0d+0   N1 =    1  N2 = 2164
  0.126810E+01  0.425975E+01  0.409710E+00
  0.127041E+01  0.462921E+01  0.408506E+00
  0.127273E+01  0.406365E+01  0.405751E+00
  0.127504E+01  0.384417E+01  0.412350E+00
  0.127736E+01  0.410130E+01  0.405854E+00
  0.127967E+01  0.356823E+01  0.406704E+00
  0.128199E+01  0.450684E+01  0.406949E+00
  0.128430E+01  0.386968E+01  0.406622E+00
  0.128662E+01  0.305674E+01  0.408092E+00
  0.128893E+01  0.372835E+01  0.402616E+00
  0.129125E+01  0.345785E+01  0.406421E+00
  0.129356E+01  0.286088E+01  0.405035E+00
  0.129588E+01  0.298474E+01  0.406160E+00
  0.129819E+01  0.337613E+01  0.406932E+00
  0.130051E+01  0.349154E+01  0.403918E+00
  0.130282E+01  0.391014E+01  0.405946E+00
  0.130514E+01  0.411218E+01  0.404891E+00
  0.130745E+01  0.391961E+01  0.406454E+00
  0.130977E+01  0.344197E+01  0.406042E+00
  0.131208E+01  0.376925E+01  0.405191E+00
  0.131440E+01  0.412963E+01  0.406627E+00
  0.131671E+01  0.325216E+01  0.402594E+00
  0.131903E+01  0.356333E+01  0.404682E+00
  0.132134E+01  0.379682E+01  0.403134E+00
  0.132366E+01  0.346869E+01  0.405602E+00
  0.132597E+01  0.313499E+01  0.402864E+00
  0.132829E+01  0.409309E+01  0.403519E+00
  0.133060E+01  0.310547E+01  0.405151E+00
  0.133292E+01  0.336160E+01  0.401573E+00
  0.133523E+01  0.343562E+01  0.403712E+00
  0.133755E+01  0.384991E+01  0.401936E+00
  0.133986E+01  0.320115E+01  0.401122E+00
  0.134218E+01  0.384515E+01  0.405216E+00
  0.134449E+01  0.360448E+01  0.400700E+00
  0.134681E+01  0.388613E+01  0.403040E+00
  0.134912E+01  0.281631E+01  0.399730E+00
  0.135144E+01  0.266509E+01  0.403467E+00
  0.135375E+01  0.374544E+01  0.403760E+00
  0.135607E+01  0.340974E+01  0.398713E+00
  0.135838E+01  0.333191E+01  0.403197E+00
  0.136070E+01  0.336334E+01  0.399522E+00
  0.136301E+01  0.300051E+01  0.404563E+00
  0.136533E+01  0.267431E+01  0.401216E+00
  0.136764E+01  0.251805E+01  0.397382E+00
  0.136996E+01  0.247235E+01  0.403601E+00
  0.137227E+01  0.265966E+01  0.397639E+00
  0.137459E+01  0.282234E+01  0.402389E+00
  0.137690E+01  0.301373E+01  0.398814E+00
  0.137922E+01  0.237066E+01  0.398992E+00
  0.138153E+01  0.250487E+01  0.402014E+00
  0.138385E+01  0.202209E+01  0.397032E+00
  0.138616E+01  0.254263E+01  0.401757E+00
  0.138848E+01  0.269203E+01  0.396206E+00
