
Sample:   c= 0 mg/ml  Code: 
 1.339630e+000  4.345885e+000  3.444645e-001
 1.344370e+000  4.460505e+000  3.416195e-001
 1.349110e+000  4.456065e+000  3.388875e-001
 1.353850e+000  4.306930e+000  3.378395e-001
 1.358580e+000  4.380250e+000  3.359360e-001
 1.363320e+000  4.489920e+000  3.352310e-001
 1.368060e+000  4.615050e+000  3.344700e-001
 1.372800e+000  4.256110e+000  3.336170e-001
 1.377540e+000  3.933055e+000  3.326705e-001
 1.382280e+000  3.637765e+000  3.316305e-001
 1.387020e+000  3.421010e+000  3.306845e-001
 1.391760e+000  3.380310e+000  3.299170e-001
 1.396500e+000  3.538470e+000  3.296175e-001
 1.401240e+000  3.967950e+000  3.289295e-001
 1.405980e+000  4.123300e+000  3.291400e-001
 1.410710e+000  4.052070e+000  3.276305e-001
 1.415450e+000  3.826305e+000  3.270055e-001
 1.420190e+000  3.459260e+000  3.260990e-001
 1.424930e+000  3.298460e+000  3.252410e-001
 1.429670e+000  3.414350e+000  3.247830e-001
 1.434410e+000  3.567590e+000  3.244260e-001
 1.439150e+000  3.406810e+000  3.236955e-001
 1.443890e+000  3.299680e+000  3.227260e-001
 1.448630e+000  3.350810e+000  3.223150e-001
 1.453370e+000  3.204175e+000  3.216550e-001
 1.458110e+000  3.180570e+000  3.218145e-001
 1.462840e+000  2.957275e+000  3.200660e-001
 1.467580e+000  3.035725e+000  3.200585e-001
 1.472320e+000  3.031185e+000  3.198675e-001
 1.477060e+000  3.076115e+000  3.192055e-001
 1.481800e+000  3.303520e+000  3.186465e-001
 1.486540e+000  3.312770e+000  3.182520e-001
 1.491280e+000  3.201760e+000  3.177680e-001
 1.496020e+000  3.190485e+000  3.171950e-001
 1.500760e+000  3.232030e+000  3.175035e-001
 1.505500e+000  3.169670e+000  3.206005e-001
 1.510240e+000  2.797485e+000  3.289540e-001
 1.514970e+000  2.505670e+000  3.344065e-001
 1.519710e+000  2.673480e+000  3.394740e-001
 1.524450e+000  2.816035e+000  3.436755e-001
 1.529190e+000  2.903000e+000  3.459840e-001
 1.533930e+000  3.030075e+000  3.428025e-001
 1.538670e+000  2.770920e+000  3.356225e-001
 1.543410e+000  2.527355e+000  3.299620e-001
 1.548150e+000  2.397375e+000  3.256600e-001
 1.552890e+000  2.297535e+000  3.220855e-001
 1.557630e+000  2.370545e+000  3.193445e-001
 1.562370e+000  2.688505e+000  3.173130e-001
 1.567110e+000  2.714610e+000  3.165225e-001
 1.571840e+000  2.524010e+000  3.140775e-001
 1.576580e+000  2.510535e+000  3.124710e-001
 1.581320e+000  2.720965e+000  3.110790e-001
 1.586060e+000  2.599690e+000  3.097870e-001
 1.590800e+000  2.364385e+000  3.086880e-001
 1.595540e+000  2.467490e+000  3.083490e-001
 1.600280e+000  2.533900e+000  3.086725e-001
 1.605020e+000  2.498225e+000  3.089575e-001
 1.609760e+000  2.229200e+000  3.089985e-001
 1.614500e+000  2.223375e+000  3.089200e-001
 1.619240e+000  2.445325e+000  3.096885e-001
 1.623970e+000  2.571825e+000  3.083545e-001
 1.628710e+000  2.548470e+000  3.080040e-001
 1.633450e+000  2.280590e+000  3.073680e-001
 1.638190e+000  2.138980e+000  3.067185e-001
 1.642930e+000  1.967520e+000  3.061980e-001
 1.647670e+000  2.119820e+000  3.057400e-001
 1.652410e+000  2.327675e+000  3.054270e-001
 1.657150e+000  2.172590e+000  3.048025e-001
 1.661890e+000  1.939455e+000  3.042825e-001
 1.666630e+000  1.834970e+000  3.035270e-001
 1.671370e+000  1.956885e+000  3.040080e-001
 1.676100e+000  2.079420e+000  3.028125e-001
 1.680840e+000  1.910155e+000  3.025675e-001
 1.685580e+000  1.813955e+000  3.022515e-001
 1.690320e+000  1.718570e+000  3.015025e-001
 1.695060e+000  1.535805e+000  3.008445e-001
 1.699800e+000  1.689800e+000  3.004910e-001
 1.704540e+000  2.081730e+000  3.002895e-001
 1.709280e+000  1.942970e+000  2.996580e-001
 1.714020e+000  1.488200e+000  2.989920e-001
 1.718760e+000  1.409965e+000  2.983540e-001
 1.723500e+000  1.618965e+000  2.988595e-001
 1.728230e+000  1.583235e+000  2.976610e-001
 1.732970e+000  1.530465e+000  2.972940e-001
 1.737710e+000  1.363730e+000  2.970235e-001
 1.742450e+000  1.564020e+000  2.965670e-001
 1.747190e+000  1.622325e+000  2.962530e-001
 1.751930e+000  1.604295e+000  2.958335e-001
 1.756670e+000  1.811055e+000  2.956740e-001
 1.761410e+000  1.907255e+000  2.955910e-001
 1.766150e+000  1.699340e+000  2.948540e-001
 1.770890e+000  1.573940e+000  2.939830e-001
 1.775630e+000  1.533045e+000  2.944785e-001
 1.780360e+000  1.427835e+000  2.932820e-001
 1.785100e+000  1.440645e+000  2.930810e-001
 1.789840e+000  1.254520e+000  2.925130e-001
 1.794580e+000  1.004685e+000  2.919610e-001
 1.799320e+000  1.076115e+000  2.917895e-001
 1.804060e+000  1.309900e+000  2.915400e-001
 1.808800e+000  1.421385e+000  2.911910e-001
 1.813540e+000  1.335750e+000  2.907365e-001
 1.818280e+000  1.295315e+000  2.903135e-001
 1.823020e+000  1.407195e+000  2.897060e-001
 1.827760e+000  1.471455e+000  2.902210e-001
 1.832490e+000  1.351220e+000  2.889745e-001
 1.837230e+000  1.435965e+000  2.887945e-001
 1.841970e+000  1.447420e+000  2.885825e-001
 1.846710e+000  1.390665e+000  2.882095e-001
 1.851450e+000  1.060435e+000  2.876055e-001
 1.856190e+000  8.478100e-001  2.873260e-001
 1.860930e+000  1.026280e+000  2.869425e-001
 1.865670e+000  1.183955e+000  2.864340e-001
 1.870410e+000  1.236865e+000  2.861445e-001
 1.875150e+000  1.258240e+000  2.855490e-001
 1.879890e+000  1.142470e+000  2.861990e-001
 1.884620e+000  1.035470e+000  2.849940e-001
 1.889360e+000  1.067400e+000  2.846130e-001
 1.894100e+000  1.007640e+000  2.840900e-001
 1.898840e+000  1.166230e+000  2.838020e-001
 1.903580e+000  1.329695e+000  2.835060e-001
 1.908320e+000  1.288170e+000  2.832110e-001
 1.913060e+000  1.020770e+000  2.828645e-001
 1.917800e+000  7.509200e-001  2.823310e-001
 1.922540e+000  8.623250e-001  1.618955e-001
 1.927280e+000  9.286000e-001  1.964765e-001
 1.932020e+000  9.299800e-001  3.387790e-001
 1.936760e+000  9.812350e-001  1.536045e-001
 1.941490e+000  9.721050e-001  7.546400e-002
 1.946230e+000  9.515200e-001  7.542500e-002
 1.950970e+000  9.763000e-001  7.535250e-002
 1.955710e+000  1.029965e+000  7.522600e-002
 1.960450e+000  1.026310e+000  7.504400e-002
 1.965190e+000  9.665650e-001  7.482300e-002
 1.969930e+000  9.439500e-001  7.458350e-002
 1.974670e+000  9.168900e-001  7.440950e-002
 1.979410e+000  8.641650e-001  7.431850e-002
 1.984150e+000  8.167650e-001  7.416500e-002
 1.988890e+000  8.033050e-001  7.429400e-002
 1.993620e+000  7.828250e-001  7.399450e-002
 1.998360e+000  7.596350e-001  7.397850e-002
 2.003100e+000  7.956450e-001  7.398450e-002
 2.007840e+000  8.531550e-001  7.400250e-002
 2.012580e+000  8.522500e-001  7.402150e-002
 2.017320e+000  7.783050e-001  7.397950e-002
 2.022060e+000  7.669300e-001  7.390900e-002
 2.026800e+000  7.872350e-001  7.382300e-002
 2.031540e+000  8.302400e-001  7.373650e-002
 2.036280e+000  8.122250e-001  7.391400e-002
 2.041010e+000  8.215250e-001  7.365450e-002
 2.045750e+000  7.861500e-001  7.395700e-002
 2.050490e+000  7.467450e-001  7.497200e-002
 2.055230e+000  7.377400e-001  7.647400e-002
 2.059970e+000  7.339900e-001  7.772350e-002
 2.064710e+000  7.427100e-001  7.867650e-002
 2.069450e+000  7.704150e-001  7.947250e-002
 2.074190e+000  7.604800e-001  8.016550e-002
 2.078930e+000  7.167300e-001  8.068900e-002
 2.083670e+000  6.694700e-001  8.096450e-002
 2.088410e+000  6.898350e-001  8.150500e-002
 2.093140e+000  7.159000e-001  8.146150e-002
 2.097880e+000  6.902450e-001  8.169150e-002
 2.102620e+000  6.332400e-001  8.185950e-002
 2.107360e+000  6.208300e-001  8.194550e-002
 2.112100e+000  5.949800e-001  8.151500e-002
 2.116840e+000  5.770650e-001  8.007350e-002
 2.121580e+000  6.018700e-001  7.852650e-002
 2.126320e+000  6.404950e-001  7.732600e-002
 2.131060e+000  6.340900e-001  7.637400e-002
 2.135800e+000  6.046650e-001  7.553000e-002
 2.140540e+000  5.917350e-001  7.517350e-002
 2.145270e+000  6.009450e-001  7.456100e-002
 2.150010e+000  5.976300e-001  7.434850e-002
 2.154750e+000  5.790550e-001  7.417150e-002
 2.159490e+000  5.712600e-001  7.400500e-002
 2.164230e+000  5.255550e-001  7.381700e-002
 2.168970e+000  5.108950e-001  7.362800e-002
 2.173710e+000  5.722000e-001  7.349750e-002
 2.178450e+000  6.329600e-001  7.334400e-002
 2.183190e+000  6.199500e-001  7.317100e-002
 2.187930e+000  6.302200e-001  7.301350e-002
 2.192670e+000  6.456400e-001  7.317700e-002
 2.197400e+000  6.613750e-001  7.285400e-002
 2.202140e+000  6.127400e-001  7.273700e-002
 2.206880e+000  5.738050e-001  7.259550e-002
 2.211620e+000  5.619600e-001  7.245250e-002
 2.216360e+000  4.842715e-001  7.232700e-002
 2.221100e+000  4.680925e-001  7.226350e-002
 2.225840e+000  4.576540e-001  7.215800e-002
 2.230580e+000  4.216565e-001  7.200800e-002
 2.235320e+000  4.181445e-001  7.187550e-002
 2.240060e+000  4.691980e-001  7.171750e-002
 2.244800e+000  5.159450e-001  7.187600e-002
 2.249530e+000  4.718015e-001  7.157200e-002
 2.254270e+000  4.408260e-001  7.150750e-002
 2.259010e+000  4.364085e-001  7.142750e-002
 2.263750e+000  4.402035e-001  7.128700e-002
 2.268490e+000  4.426210e-001  7.116600e-002
 2.273230e+000  4.470290e-001  7.110750e-002
 2.277970e+000  5.188350e-001  7.105200e-002
 2.282710e+000  5.552950e-001  7.100100e-002
 2.287450e+000  5.067600e-001  7.088500e-002
 2.292190e+000  4.466130e-001  7.070200e-002
 2.296930e+000  3.912685e-001  7.086700e-002
 2.301660e+000  3.746110e-001  7.056600e-002
 2.306400e+000  3.593825e-001  7.046500e-002
 2.311140e+000  3.705545e-001  7.040350e-002
 2.315880e+000  3.808655e-001  7.033150e-002
 2.320620e+000  4.273885e-001  7.023600e-002
 2.325360e+000  4.501340e-001  7.016500e-002
 2.330100e+000  4.468970e-001  7.011300e-002
 2.334840e+000  4.434695e-001  7.003400e-002
 2.339580e+000  4.892705e-001  6.994950e-002
 2.344320e+000  5.188200e-001  6.979900e-002
 2.349060e+000  4.952185e-001  6.991050e-002
 2.353790e+000  4.855685e-001  6.960150e-002
 2.358530e+000  4.552500e-001  6.956500e-002
 2.363270e+000  4.307220e-001  6.951550e-002
 2.368010e+000  4.278070e-001  6.944650e-002
 2.372750e+000  3.953605e-001  6.932500e-002
 2.377490e+000  3.659420e-001  6.921650e-002
 2.382230e+000  3.659670e-001  6.914500e-002
 2.386970e+000  3.409105e-001  6.913350e-002
 2.391710e+000  3.086370e-001  7.083150e-002
 2.396450e+000  3.273430e-001  7.898200e-002
 2.401190e+000  3.686560e-001  8.440250e-002
 2.405920e+000  3.896515e-001  2.188990e-001
 2.410660e+000  4.220245e-001  2.958545e-002
 2.415400e+000  3.920885e-001  2.953980e-002
 2.420140e+000  3.736695e-001  2.951360e-002
 2.424880e+000  3.686905e-001  2.948745e-002
 2.429620e+000  3.721995e-001  2.946025e-002
 2.434360e+000  3.824505e-001  2.944260e-002
 2.439100e+000  3.814995e-001  2.941370e-002
 2.443840e+000  3.910905e-001  2.936725e-002
 2.448580e+000  3.842115e-001  2.929720e-002
 2.453320e+000  3.769105e-001  2.936150e-002
 2.458050e+000  3.856545e-001  2.926795e-002
 2.462790e+000  3.583135e-001  2.923430e-002
 2.467530e+000  3.600470e-001  2.921995e-002
 2.472270e+000  3.559590e-001  2.919170e-002
 2.477010e+000  3.375875e-001  2.915610e-002
 2.481750e+000  3.446780e-001  2.910535e-002
 2.486490e+000  3.398375e-001  2.906120e-002
 2.491230e+000  3.264500e-001  2.903815e-002
 2.495970e+000  3.178380e-001  2.900330e-002
 2.500710e+000  3.028085e-001  2.892590e-002
 2.505450e+000  3.218920e-001  2.897790e-002
 2.510180e+000  3.284770e-001  2.888215e-002
 2.514920e+000  3.364250e-001  2.889050e-002
 2.519660e+000  3.419175e-001  2.886670e-002
 2.524400e+000  3.352500e-001  2.883705e-002
 2.529140e+000  3.392375e-001  2.881105e-002
 2.533880e+000  3.381060e-001  2.878540e-002
 2.538620e+000  3.536250e-001  2.877135e-002
 2.543360e+000  3.631760e-001  2.872390e-002
 2.548100e+000  3.451410e-001  2.864355e-002
 2.552840e+000  3.369730e-001  2.855650e-002
 2.557580e+000  3.377525e-001  2.858890e-002
 2.562310e+000  3.286105e-001  2.846195e-002
 2.567050e+000  3.241280e-001  2.843640e-002
 2.571790e+000  3.169555e-001  2.839465e-002
 2.576530e+000  3.487595e-001  2.837245e-002
 2.581270e+000  3.388015e-001  2.833640e-002
 2.586010e+000  3.230955e-001  2.831115e-002
 2.590750e+000  3.413255e-001  2.830995e-002
 2.595490e+000  3.256110e-001  2.830695e-002
 2.600230e+000  2.862895e-001  2.830265e-002
 2.604970e+000  2.691375e-001  2.825875e-002
 2.609710e+000  2.826035e-001  2.832555e-002
 2.614440e+000  2.946545e-001  2.822405e-002
 2.619180e+000  2.992500e-001  2.821045e-002
 2.623920e+000  3.181995e-001  2.822875e-002
 2.628660e+000  3.237760e-001  2.820225e-002
 2.633400e+000  3.286840e-001  2.816730e-002
 2.638140e+000  3.261810e-001  2.813325e-002
 2.642880e+000  3.265625e-001  2.811565e-002
 2.647620e+000  3.047250e-001  2.807155e-002
 2.652360e+000  3.049440e-001  2.804590e-002
 2.657100e+000  3.125040e-001  2.800910e-002
 2.661840e+000  3.031630e-001  2.806360e-002
 2.666570e+000  2.790900e-001  2.796185e-002
