 22-Oct-2005       (fran2_059.dat - 1.000 *fran2_060.dat) /  2.5000
fran2_059.da  Conc = .25E+01  Mult = .10E+01  N1 =    1  N2 = 2127  SCALE =  1
 an2_060.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2127  SCALE =  1
  0.702882E+00  0.437200E+06  0.503594E+04
  0.705132E+00  0.422976E+06  0.500480E+04
  0.707382E+00  0.413056E+06  0.501514E+04
  0.709631E+00  0.408672E+06  0.495554E+04
  0.711881E+00  0.423652E+06  0.498916E+04
  0.714131E+00  0.419300E+06  0.498205E+04
  0.716381E+00  0.407884E+06  0.493662E+04
  0.718630E+00  0.408308E+06  0.498706E+04
  0.720880E+00  0.410804E+06  0.487896E+04
  0.723130E+00  0.412332E+06  0.494546E+04
  0.725379E+00  0.390308E+06  0.493658E+04
  0.727629E+00  0.394108E+06  0.487667E+04
  0.729879E+00  0.389336E+06  0.490973E+04
  0.732128E+00  0.388200E+06  0.486286E+04
  0.734378E+00  0.392180E+06  0.493015E+04
  0.736628E+00  0.389764E+06  0.485304E+04
  0.738878E+00  0.392600E+06  0.485568E+04
  0.741127E+00  0.392124E+06  0.486306E+04
  0.743377E+00  0.389144E+06  0.483967E+04
  0.745627E+00  0.376376E+06  0.486955E+04
  0.747876E+00  0.368556E+06  0.479649E+04
  0.750126E+00  0.360268E+06  0.480934E+04
  0.752376E+00  0.368688E+06  0.481370E+04
  0.754625E+00  0.367916E+06  0.480930E+04
  0.756875E+00  0.358344E+06  0.481216E+04
  0.759125E+00  0.357960E+06  0.473608E+04
  0.761375E+00  0.364324E+06  0.478644E+04
  0.763624E+00  0.363260E+06  0.476883E+04
  0.765874E+00  0.353192E+06  0.476853E+04
  0.768124E+00  0.350612E+06  0.475470E+04
  0.770373E+00  0.349420E+06  0.471445E+04
  0.772623E+00  0.349660E+06  0.474086E+04
  0.774873E+00  0.345272E+06  0.470134E+04
  0.777122E+00  0.352496E+06  0.472360E+04
  0.779372E+00  0.345308E+06  0.472248E+04
  0.781622E+00  0.336160E+06  0.469030E+04
  0.783872E+00  0.332440E+06  0.472167E+04
  0.786121E+00  0.332252E+06  0.464809E+04
  0.788371E+00  0.338364E+06  0.467649E+04
  0.790621E+00  0.333992E+06  0.467609E+04
  0.792870E+00  0.326560E+06  0.467353E+04
  0.795120E+00  0.326996E+06  0.465963E+04
  0.797370E+00  0.325300E+06  0.462199E+04
  0.799619E+00  0.319104E+06  0.465463E+04
  0.801869E+00  0.311780E+06  0.464111E+04
  0.804119E+00  0.309916E+06  0.461925E+04
  0.806368E+00  0.310180E+06  0.462441E+04
  0.808618E+00  0.316476E+06  0.459778E+04
  0.810868E+00  0.304440E+06  0.464263E+04
  0.813118E+00  0.301532E+06  0.457430E+04
  0.815367E+00  0.292716E+06  0.458815E+04
  0.817617E+00  0.297832E+06  0.458029E+04
  0.819867E+00  0.302404E+06  0.457657E+04
  0.822116E+00  0.300540E+06  0.459924E+04
  0.824366E+00  0.292736E+06  0.452389E+04
  0.826616E+00  0.303012E+06  0.457128E+04
  0.828865E+00  0.299804E+06  0.452844E+04
  0.831115E+00  0.290288E+06  0.455156E+04
  0.833365E+00  0.287192E+06  0.454466E+04
  0.835615E+00  0.291304E+06  0.450650E+04
  0.837864E+00  0.280376E+06  0.454230E+04
  0.840114E+00  0.276808E+06  0.449673E+04
  0.842364E+00  0.284728E+06  0.451676E+04
  0.844613E+00  0.276760E+06  0.447651E+04
  0.846863E+00  0.273864E+06  0.449012E+04
  0.849113E+00  0.272392E+06  0.453830E+04
  0.851362E+00  0.275740E+06  0.444531E+04
  0.853612E+00  0.275128E+06  0.448077E+04
  0.855862E+00  0.273096E+06  0.445271E+04
  0.858112E+00  0.259916E+06  0.445660E+04
  0.860361E+00  0.256992E+06  0.447206E+04
  0.862611E+00  0.266876E+06  0.441887E+04
