 05-Nov-2009       (filippo_024.dat - 1.0*filippo_025.dat) /  5.0000          
filippo_024.  Conc = .50E+01  N1 =    1  N2 = 2310
filippo_025.  Conc = 0.0d+0   N1 =    1  N2 = 2310
  0.103780E+01  0.565600E+01  0.998171E-01
  0.104047E+01  0.580884E+01  0.986482E-01
  0.104314E+01  0.536626E+01  0.997474E-01
  0.104580E+01  0.545694E+01  0.988033E-01
  0.104847E+01  0.535134E+01  0.988419E-01
  0.105114E+01  0.519780E+01  0.100279E+00
  0.105381E+01  0.513848E+01  0.981523E-01
  0.105647E+01  0.514936E+01  0.994384E-01
  0.105914E+01  0.514616E+01  0.980226E-01
  0.106181E+01  0.500016E+01  0.978056E-01
  0.106448E+01  0.494230E+01  0.996520E-01
  0.106714E+01  0.503796E+01  0.981081E-01
  0.106981E+01  0.487794E+01  0.100065E+00
  0.107248E+01  0.484150E+01  0.972786E-01
  0.107515E+01  0.477554E+01  0.983389E-01
  0.107781E+01  0.489144E+01  0.991218E-01
  0.108048E+01  0.467622E+01  0.978700E-01
  0.108315E+01  0.471294E+01  0.994849E-01
  0.108582E+01  0.442536E+01  0.967283E-01
  0.108849E+01  0.466092E+01  0.986589E-01
  0.109115E+01  0.452704E+01  0.974694E-01
  0.109382E+01  0.448354E+01  0.968231E-01
  0.109649E+01  0.439392E+01  0.991898E-01
  0.109916E+01  0.428052E+01  0.966718E-01
  0.110182E+01  0.439308E+01  0.987400E-01
  0.110449E+01  0.415202E+01  0.971362E-01
  0.110716E+01  0.419566E+01  0.968761E-01
  0.110983E+01  0.426390E+01  0.973292E-01
  0.111249E+01  0.395698E+01  0.969674E-01
  0.111516E+01  0.401482E+01  0.979145E-01
  0.111783E+01  0.408840E+01  0.959484E-01
  0.112050E+01  0.410014E+01  0.979932E-01
  0.112316E+01  0.393414E+01  0.970723E-01
  0.112583E+01  0.393194E+01  0.976089E-01
  0.112850E+01  0.396156E+01  0.964721E-01
  0.113117E+01  0.394270E+01  0.960271E-01
  0.113383E+01  0.366080E+01  0.977508E-01
  0.113650E+01  0.362114E+01  0.957338E-01
  0.113917E+01  0.375406E+01  0.970780E-01
  0.114184E+01  0.368710E+01  0.955441E-01
  0.114451E+01  0.376422E+01  0.969403E-01
  0.114717E+01  0.364102E+01  0.966592E-01
  0.114984E+01  0.360902E+01  0.953887E-01
  0.115251E+01  0.351498E+01  0.964199E-01
  0.115518E+01  0.358084E+01  0.962504E-01
  0.115784E+01  0.329786E+01  0.967637E-01
  0.116051E+01  0.339210E+01  0.966393E-01
  0.116318E+01  0.328710E+01  0.948764E-01
  0.116585E+01  0.321140E+01  0.967603E-01
  0.116851E+01  0.338054E+01  0.945482E-01
