Sample description: DAPK2o6768
Sample: DAPK2o6768  c= 2.0000 mg/ml  Code: DAPKB
Parent(s): processed/subtracted/DAPKB_0036_sub.dat
  1.235220e+00   4.662620e+01   8.170565e+00
  1.237850e+00   4.600985e+01   8.168630e+00
  1.240480e+00   4.715920e+01   8.114585e+00
  1.243110e+00   4.576255e+01   8.083890e+00
  1.245750e+00   2.184955e+01   7.995745e+00
  1.248380e+00   4.834005e+01   8.245705e+00
  1.251010e+00   5.376240e+01   8.028310e+00
  1.253640e+00   4.988335e+01   8.128540e+00
  1.256270e+00   5.791215e+01   8.148130e+00
  1.258900e+00   4.754365e+01   8.057755e+00
  1.261530e+00   5.364445e+01   8.134570e+00
  1.264160e+00   2.051505e+01   7.908080e+00
  1.266790e+00   3.609570e+01   8.077920e+00
  1.269430e+00   5.870880e+01   8.070180e+00
  1.272060e+00   4.526740e+01   7.974730e+00
  1.274690e+00   4.156860e+01   7.952585e+00
  1.277320e+00   3.045025e+01   7.944665e+00
  1.279950e+00   3.646900e+01   7.989145e+00
  1.282580e+00   4.321890e+01   7.925410e+00
  1.285210e+00   3.024065e+01   7.995810e+00
  1.287840e+00   3.193760e+01   7.882295e+00
  1.290470e+00   4.025265e+01   7.883925e+00
  1.293110e+00   2.911905e+01   7.846680e+00
  1.295740e+00   2.590140e+01   7.778725e+00
  1.298370e+00   4.097290e+01   7.908355e+00
  1.301000e+00   2.276480e+01   7.817260e+00
  1.303630e+00   3.629380e+01   7.870670e+00
  1.306260e+00   3.398665e+01   7.848165e+00
  1.308890e+00   3.877705e+01   7.889600e+00
  1.311520e+00   3.400385e+01   7.841585e+00
  1.314150e+00   2.691175e+01   7.770975e+00
  1.316790e+00   3.685410e+01   7.813330e+00
  1.319420e+00   2.879060e+01   7.811785e+00
  1.322050e+00   2.842780e+01   7.848400e+00
  1.324680e+00   3.041620e+01   7.821260e+00
  1.327310e+00   2.800745e+01   7.717695e+00
  1.329940e+00   2.459720e+01   7.716740e+00
  1.332570e+00   3.257365e+01   7.728040e+00
  1.335200e+00   3.137005e+01   7.733185e+00
  1.337830e+00   1.962420e+01   7.660085e+00
  1.340470e+00   2.613125e+01   7.725890e+00
  1.343100e+00   2.378740e+01   7.746520e+00
  1.345730e+00   2.632155e+01   7.706565e+00
  1.348360e+00   3.532185e+01   7.666635e+00
  1.350990e+00   2.697375e+01   7.596440e+00
  1.353620e+00   2.914075e+01   7.648295e+00
  1.356250e+00   2.318235e+01   7.661235e+00
  1.358880e+00   2.962430e+01   7.646035e+00
  1.361510e+00   3.875480e+01   7.679735e+00
  1.364150e+00   4.472400e+01   7.644385e+00
  1.366780e+00   2.638655e+01   7.648295e+00
  1.369410e+00   2.049825e+01   7.572290e+00
  1.372040e+00   2.429760e+01   7.605085e+00
  1.374670e+00   1.245175e+01   7.548055e+00
  1.377300e+00   2.253170e+01   7.572230e+00
  1.379930e+00   1.772145e+01   7.466795e+00
  1.382560e+00   2.143425e+01   7.546685e+00
  1.385190e+00   2.381560e+01   7.533365e+00
  1.387830e+00   2.898735e+01   7.581010e+00
  1.390460e+00   1.936920e+01   7.458095e+00
  1.393090e+00   2.116605e+01   7.486065e+00
  1.395720e+00   2.751200e+01   7.529930e+00
  1.398350e+00   2.966670e+01   7.481865e+00
  1.400980e+00   2.566610e+01   7.460285e+00
  1.403610e+00   3.123650e+01   7.438765e+00
  1.406240e+00   2.259800e+01   7.456655e+00
  1.408870e+00   2.704615e+01   7.457735e+00
  1.411510e+00   3.179360e+01   7.473625e+00
  1.414140e+00   2.287160e+01   7.466555e+00
  1.416770e+00   9.953250e+00   7.301945e+00
  1.419400e+00   2.140730e+01   7.468950e+00
  1.422030e+00   1.179395e+01   7.433115e+00
  1.424660e+00   2.707950e+01   7.400090e+00
  1.427290e+00   2.677405e+01   7.492105e+00
  1.429920e+00   3.638390e+01   7.403330e+00
  1.432550e+00   2.178555e+01   7.424630e+00
  1.435190e+00   2.278705e+01   7.329445e+00
  1.437820e+00   1.547830e+01   7.422835e+00
  1.440450e+00   1.624905e+01   7.356770e+00
  1.443080e+00   1.347765e+01   7.335735e+00
  1.445710e+00   2.068040e+01   7.436530e+00
  1.448340e+00   1.743950e+01   7.290955e+00
  1.450970e+00   1.630840e+01   7.317185e+00
  1.453600e+00   2.895540e+01   7.404805e+00
  1.456230e+00   1.850955e+01   7.356805e+00
  1.458870e+00   1.155910e+01   7.320960e+00
  1.461500e+00   1.512455e+01   7.275845e+00
  1.464130e+00   2.466500e+01   7.349295e+00
