 02-Dec-2007       (gue_056.dat - 1.0*gue_057.dat) /  3.0000                  
 gue_056.dat  Conc = .30E+01  N1 =    1  N2 =  872
 gue_057.dat  Conc = 0.0d+0   N1 =    1  N2 =  872
  0.798687E+00  0.116380E-01  0.890496E-03
  0.801370E+00  0.133647E-01  0.897079E-03
  0.804052E+00  0.118007E-01  0.885596E-03
  0.806734E+00  0.104280E-01  0.885982E-03
  0.809417E+00  0.108977E-01  0.883447E-03
  0.812099E+00  0.105717E-01  0.875830E-03
  0.814781E+00  0.128150E-01  0.890072E-03
  0.817463E+00  0.116287E-01  0.880303E-03
  0.820146E+00  0.893233E-02  0.884012E-03
  0.822828E+00  0.107570E-01  0.888928E-03
  0.825510E+00  0.967967E-02  0.878566E-03
  0.828192E+00  0.124120E-01  0.872822E-03
  0.830875E+00  0.105880E-01  0.874659E-03
  0.833557E+00  0.998933E-02  0.883271E-03
  0.836239E+00  0.967833E-02  0.874808E-03
  0.838921E+00  0.102553E-01  0.884185E-03
  0.841604E+00  0.101543E-01  0.881745E-03
  0.844286E+00  0.850933E-02  0.862486E-03
  0.846968E+00  0.917700E-02  0.877464E-03
  0.849650E+00  0.815833E-02  0.873073E-03
  0.852333E+00  0.872567E-02  0.878155E-03
  0.855015E+00  0.926767E-02  0.876024E-03
  0.857697E+00  0.103820E-01  0.879249E-03
  0.860379E+00  0.795200E-02  0.876118E-03
  0.863062E+00  0.957867E-02  0.871750E-03
  0.865744E+00  0.783167E-02  0.881963E-03
  0.868426E+00  0.718267E-02  0.880374E-03
  0.871108E+00  0.858000E-02  0.858783E-03
  0.873791E+00  0.865367E-02  0.883562E-03
  0.876473E+00  0.854367E-02  0.874368E-03
  0.879155E+00  0.879300E-02  0.867409E-03
  0.881837E+00  0.904800E-02  0.873425E-03
  0.884520E+00  0.750200E-02  0.873617E-03
  0.887202E+00  0.838533E-02  0.875193E-03
  0.889884E+00  0.808800E-02  0.876630E-03
  0.892567E+00  0.787100E-02  0.873636E-03
  0.895249E+00  0.630933E-02  0.854146E-03
  0.897931E+00  0.757733E-02  0.866234E-03
  0.900613E+00  0.659433E-02  0.867323E-03
  0.903296E+00  0.541000E-02  0.860589E-03
  0.905978E+00  0.711700E-02  0.860880E-03
  0.908660E+00  0.737967E-02  0.852913E-03
  0.911342E+00  0.697933E-02  0.853127E-03
  0.914025E+00  0.644367E-02  0.863997E-03
  0.916707E+00  0.660300E-02  0.849272E-03
  0.919389E+00  0.702733E-02  0.859935E-03
  0.922071E+00  0.661367E-02  0.850506E-03
  0.924754E+00  0.810767E-02  0.855904E-03
  0.927436E+00  0.634333E-02  0.862821E-03
  0.930118E+00  0.708333E-02  0.856521E-03
  0.932800E+00  0.740267E-02  0.855434E-03
  0.935483E+00  0.590367E-02  0.858575E-03
  0.938165E+00  0.602300E-02  0.852440E-03
  0.940847E+00  0.609867E-02  0.844666E-03
  0.943529E+00  0.616467E-02  0.846058E-03
  0.946212E+00  0.563800E-02  0.842620E-03
  0.948894E+00  0.472200E-02  0.838404E-03
  0.951576E+00  0.573233E-02  0.847820E-03
  0.954258E+00  0.558400E-02  0.840981E-03
  0.956941E+00  0.397533E-02  0.844779E-03
  0.959623E+00  0.599233E-02  0.832689E-03
  0.962305E+00  0.704000E-02  0.842054E-03
  0.964988E+00  0.564733E-02  0.841862E-03
  0.967670E+00  0.629300E-02  0.838319E-03
  0.970352E+00  0.518500E-02  0.836432E-03
  0.973034E+00  0.393267E-02  0.838140E-03
  0.975717E+00  0.462267E-02  0.834792E-03
  0.978399E+00  0.522900E-02  0.832176E-03
  0.981081E+00  0.484833E-02  0.829257E-03
  0.983763E+00  0.584433E-02  0.828375E-03
  0.986446E+00  0.570200E-02  0.842627E-03
  0.989128E+00  0.496100E-02  0.833336E-03
  0.991810E+00  0.577733E-02  0.837939E-03
  0.994492E+00  0.442867E-02  0.840922E-03
  0.997175E+00  0.454000E-02  0.831071E-03
  0.999857E+00  0.644400E-02  0.836484E-03
  0.100254E+01  0.498300E-02  0.834263E-03
  0.100522E+01  0.494667E-02  0.820805E-03
  0.100790E+01  0.493667E-02  0.838802E-03
  0.101059E+01  0.350633E-02  0.841518E-03
  0.101327E+01  0.401233E-02  0.837385E-03
  0.101595E+01  0.511433E-02  0.834432E-03
  0.101863E+01  0.487600E-02  0.837325E-03
  0.102131E+01  0.439400E-02  0.834773E-03
  0.102400E+01  0.383333E-02  0.835328E-03
  0.102668E+01  0.521400E-02  0.838191E-03
  0.102936E+01  0.398500E-02  0.839072E-03
  0.103204E+01  0.327367E-02  0.836171E-03
  0.103473E+01  0.361467E-02  0.838366E-03
  0.103741E+01  0.395667E-02  0.838493E-03
  0.104009E+01  0.532600E-02  0.839393E-03
  0.104277E+01  0.492567E-02  0.842724E-03
  0.104546E+01  0.506967E-02  0.842338E-03
  0.104814E+01  0.454033E-02  0.845399E-03
  0.105082E+01  0.394233E-02  0.846861E-03
  0.105350E+01  0.433500E-02  0.831767E-03
  0.105618E+01  0.537133E-02  0.835252E-03
  0.105887E+01  0.472367E-02  0.828339E-03
  0.106155E+01  0.423667E-02  0.838727E-03
  0.106423E+01  0.397233E-02  0.836283E-03
  0.106691E+01  0.441900E-02  0.840175E-03
  0.106960E+01  0.404300E-02  0.831333E-03
  0.107228E+01  0.309900E-02  0.832952E-03
  0.107496E+01  0.347267E-02  0.823823E-03
  0.107764E+01  0.464700E-02  0.828718E-03
  0.108032E+01  0.336233E-02  0.830725E-03
  0.108301E+01  0.452933E-02  0.832499E-03
  0.108569E+01  0.485100E-02  0.828966E-03
  0.108837E+01  0.360667E-02  0.822354E-03
  0.109105E+01  0.281567E-02  0.828179E-03
  0.109374E+01  0.426300E-02  0.830637E-03
  0.109642E+01  0.338667E-02  0.832932E-03
  0.109910E+01  0.241900E-02  0.823489E-03
  0.110178E+01  0.437767E-02  0.830042E-03
  0.110446E+01  0.385867E-02  0.820427E-03
  0.110715E+01  0.402433E-02  0.827272E-03
  0.110983E+01  0.393967E-02  0.824925E-03
  0.111251E+01  0.485400E-02  0.815088E-03
  0.111519E+01  0.153000E-02  0.818077E-03
  0.111788E+01  0.445500E-02  0.820117E-03
  0.112056E+01  0.312000E-02  0.819757E-03
  0.112324E+01  0.437267E-02  0.818670E-03
  0.112592E+01  0.286067E-02  0.817163E-03
  0.112861E+01  0.319233E-02  0.816342E-03
  0.113129E+01  0.496800E-02  0.813331E-03
  0.113397E+01  0.177700E-02  0.810796E-03
  0.113665E+01  0.220467E-02  0.817788E-03
  0.113933E+01  0.339867E-02  0.804274E-03
  0.114202E+01  0.448233E-02  0.816649E-03
  0.114470E+01  0.413233E-02  0.818151E-03
  0.114738E+01  0.263567E-02  0.814612E-03
  0.115006E+01  0.343300E-02  0.818463E-03
  0.115275E+01  0.230100E-02  0.814471E-03
  0.115543E+01  0.412833E-02  0.812687E-03
