Sample description: NETRIN DCC56 AmS
Sample: NETRIN DCC56 Am  c= 2.8700 mg/ml  Code: RN11D56A
Parent(s): processed/subtracted/RN11D56A_0064_sub.dat
  8.489350e-01   1.171443e+02   1.032645e+01
  8.509330e-01   1.408460e+02   1.015223e+01
  8.529320e-01   1.461735e+02   1.019133e+01
  8.549300e-01   1.426429e+02   9.967345e+00
  8.569290e-01   1.408286e+02   1.015154e+01
  8.589270e-01   1.529746e+02   1.010949e+01
  8.609260e-01   1.200767e+02   1.002035e+01
  8.629240e-01   1.256003e+02   1.013475e+01
  8.649220e-01   1.257599e+02   1.010888e+01
  8.669210e-01   1.309383e+02   1.010438e+01
  8.689190e-01   1.481105e+02   1.005014e+01
  8.709180e-01   1.490801e+02   9.945146e+00
  8.729160e-01   1.094763e+02   9.987397e+00
  8.749150e-01   1.302449e+02   1.003004e+01
  8.769130e-01   1.365707e+02   9.965178e+00
  8.789120e-01   1.260815e+02   9.964202e+00
  8.809100e-01   1.330449e+02   9.987303e+00
  8.829080e-01   1.232185e+02   1.002217e+01
  8.849070e-01   1.314049e+02   1.000502e+01
  8.869050e-01   1.245150e+02   9.900272e+00
  8.889040e-01   1.287380e+02   9.959606e+00
  8.909020e-01   1.071850e+02   9.966498e+00
  8.929010e-01   1.184662e+02   9.926909e+00
  8.948990e-01   1.204526e+02   9.757477e+00
  8.968970e-01   1.131146e+02   9.777338e+00
  8.988960e-01   1.369474e+02   9.827181e+00
  9.008940e-01   1.299972e+02   9.849997e+00
  9.028930e-01   1.022993e+02   9.757387e+00
  9.048910e-01   1.049986e+02   9.794115e+00
  9.068900e-01   1.119449e+02   9.724307e+00
  9.088880e-01   1.326066e+02   9.779693e+00
  9.108860e-01   1.159878e+02   9.771223e+00
  9.128850e-01   1.190868e+02   9.694460e+00
  9.148830e-01   1.081209e+02   9.723983e+00
  9.168820e-01   1.132801e+02   9.741307e+00
  9.188800e-01   1.081599e+02   9.746240e+00
  9.208790e-01   9.819024e+01   9.581652e+00
  9.228770e-01   1.187383e+02   9.678868e+00
  9.248750e-01   1.134711e+02   9.737937e+00
  9.268740e-01   1.106571e+02   9.722498e+00
  9.288720e-01   1.147801e+02   9.629822e+00
  9.308710e-01   9.568223e+01   9.711209e+00
  9.328690e-01   1.053798e+02   9.684666e+00
  9.348680e-01   1.103599e+02   9.653463e+00
  9.368660e-01   1.037878e+02   9.646059e+00
  9.388640e-01   1.125237e+02   9.560338e+00
  9.408630e-01   1.060153e+02   9.598631e+00
  9.428610e-01   8.949791e+01   9.609247e+00
  9.448600e-01   1.035993e+02   9.551571e+00
  9.468580e-01   1.049711e+02   9.462843e+00
  9.488570e-01   1.151202e+02   9.552557e+00
  9.508550e-01   1.303540e+02   9.564509e+00
  9.528540e-01   1.182760e+02   9.518767e+00
  9.548520e-01   9.740976e+01   9.502923e+00
  9.568500e-01   9.594948e+01   9.567429e+00
  9.588490e-01   9.657735e+01   9.545599e+00
  9.608470e-01   9.024774e+01   9.523599e+00
  9.628460e-01   1.132240e+02   9.510125e+00
  9.648440e-01   1.069885e+02   9.532185e+00
  9.668430e-01   9.450279e+01   9.549836e+00
  9.688410e-01   1.069188e+02   9.465362e+00
  9.708390e-01   9.419965e+01   9.359432e+00
  9.728380e-01   7.859303e+01   9.399843e+00
  9.748360e-01   1.039557e+02   9.411408e+00
  9.768350e-01   8.676655e+01   9.483948e+00
  9.788330e-01   1.006199e+02   9.460160e+00
  9.808320e-01   9.081638e+01   9.312422e+00
  9.828300e-01   1.006087e+02   9.398578e+00
  9.848280e-01   9.834390e+01   9.315474e+00
  9.868270e-01   1.033101e+02   9.387861e+00
  9.888250e-01   1.005690e+02   9.283153e+00
  9.908240e-01   9.672404e+01   9.304927e+00
  9.928220e-01   9.703902e+01   9.383467e+00
  9.948210e-01   1.010429e+02   9.337139e+00
  9.968190e-01   9.602753e+01   9.344669e+00
  9.988170e-01   8.900209e+01   9.302456e+00
  1.000820e+00   9.029721e+01   9.399066e+00
  1.002810e+00   8.495261e+01   9.306822e+00
  1.004810e+00   6.850418e+01   9.159561e+00
  1.006810e+00   8.364042e+01   9.280202e+00
  1.008810e+00   9.320976e+01   9.242735e+00
  1.010810e+00   9.465226e+01   9.333038e+00
  1.012810e+00   7.863031e+01   9.292578e+00
  1.014800e+00   9.597944e+01   9.232728e+00
  1.016800e+00   8.080662e+01   9.274038e+00
  1.018800e+00   9.462125e+01   9.087679e+00
  1.020800e+00   6.497805e+01   9.257976e+00
  1.022800e+00   8.118711e+01   9.137080e+00
  1.024800e+00   7.828815e+01   9.195728e+00
  1.026800e+00   8.753798e+01   9.193861e+00
  1.028790e+00   1.005024e+02   9.103021e+00
  1.030790e+00   7.813693e+01   9.184854e+00
  1.032790e+00   1.032188e+02   9.099265e+00
  1.034790e+00   7.753240e+01   9.109369e+00
  1.036790e+00   8.267909e+01   9.174714e+00
  1.038790e+00   9.064669e+01   9.052596e+00
  1.040780e+00   9.007143e+01   9.133056e+00
  1.042780e+00   9.362439e+01   9.046777e+00
  1.044780e+00   7.447317e+01   8.974359e+00
  1.046780e+00   9.585749e+01   9.064941e+00
  1.048780e+00   8.540767e+01   8.989976e+00
  1.050780e+00   7.365331e+01   9.110990e+00
  1.052780e+00   7.175436e+01   9.001125e+00
  1.054770e+00   7.956098e+01   9.055460e+00
  1.056770e+00   7.566481e+01   9.023575e+00
  1.058770e+00   8.081812e+01   8.952798e+00
  1.060770e+00   7.185296e+01   9.226167e+00
  1.062770e+00   7.488432e+01   9.236885e+00
  1.064770e+00   7.900000e+01   9.287829e+00
  1.066760e+00   8.106132e+01   9.247983e+00
  1.068760e+00   9.458118e+01   9.401474e+00
  1.070760e+00   6.012544e+01   9.413655e+00
  1.072760e+00   8.501882e+01   9.413962e+00
  1.074760e+00   7.132474e+01   9.542666e+00
  1.076760e+00   7.164460e+01   9.480035e+00
  1.078750e+00   8.593728e+01   9.473254e+00
  1.080750e+00   8.109024e+01   9.453819e+00
  1.082750e+00   6.692648e+01   9.504014e+00
  1.084750e+00   8.037875e+01   9.594167e+00
  1.086750e+00   6.740348e+01   9.593125e+00
  1.088750e+00   6.376202e+01   9.574014e+00
  1.090750e+00   9.838188e+01   9.508645e+00
  1.092740e+00   6.596132e+01   9.647767e+00
  1.094740e+00   8.867352e+01   9.464704e+00
  1.096740e+00   7.764983e+01   9.419031e+00
  1.098740e+00   8.108084e+01   9.330296e+00
  1.100740e+00   6.548258e+01   9.268380e+00
  1.102740e+00   6.952753e+01   9.195045e+00
  1.104730e+00   8.261638e+01   9.257404e+00
  1.106730e+00   6.653659e+01   9.156481e+00
  1.108730e+00   7.977909e+01   9.245519e+00
  1.110730e+00   9.203345e+01   9.150105e+00
  1.112730e+00   9.402474e+01   9.197833e+00
  1.114730e+00   7.161951e+01   9.015477e+00
  1.116730e+00   7.363206e+01   9.036087e+00
  1.118720e+00   9.229408e+01   9.081997e+00
  1.120720e+00   7.830941e+01   8.981077e+00
  1.122720e+00   8.241568e+01   9.122909e+00
  1.124720e+00   6.341150e+01   8.956697e+00
  1.126720e+00   7.238223e+01   8.930209e+00
  1.128720e+00   6.570035e+01   8.976220e+00
  1.130710e+00   5.079024e+01   8.998331e+00
  1.132710e+00   7.675087e+01   8.908317e+00
  1.134710e+00   6.966341e+01   8.919376e+00
  1.136710e+00   3.993972e+01   9.000408e+00
  1.138710e+00   5.960976e+01   8.847557e+00
  1.140710e+00   7.943902e+01   8.844415e+00
