#Sample description: CD27LC239R NaCl
#Sample: CD27LC239R NaCl  c= 1.0600 mg/ml  Code: CD27CR
#Parent(s): /var/folders/z_/xc294sm95_b7n3lbzr312p7w0000gn/T/qt_temp.T19533
  1.302690e+00   1.610073e+02   7.176679e+00
  1.305320e+00   1.578357e+02   7.171101e+00
  1.307950e+00   1.491689e+02   7.118836e+00
  1.310580e+00   1.504535e+02   7.152158e+00
  1.313210e+00   1.452059e+02   7.077283e+00
  1.315850e+00   1.459587e+02   7.096099e+00
  1.318480e+00   1.425520e+02   7.119601e+00
  1.321110e+00   1.466751e+02   7.119066e+00
  1.323740e+00   1.545844e+02   7.113108e+00
  1.326370e+00   1.455976e+02   7.072869e+00
  1.329000e+00   1.451453e+02   7.052148e+00
  1.331630e+00   1.438244e+02   7.069978e+00
  1.334260e+00   1.404087e+02   7.002119e+00
  1.336890e+00   1.433342e+02   7.003082e+00
  1.339520e+00   1.498767e+02   7.040621e+00
  1.342150e+00   1.507037e+02   7.022747e+00
  1.344780e+00   1.369171e+02   6.997972e+00
  1.347410e+00   1.333237e+02   6.954942e+00
  1.350040e+00   1.292137e+02   6.914561e+00
  1.352680e+00   1.478897e+02   6.999009e+00
  1.355310e+00   1.362471e+02   6.925421e+00
  1.357940e+00   1.287611e+02   6.889890e+00
  1.360570e+00   1.383158e+02   6.945520e+00
  1.363200e+00   1.418967e+02   6.933839e+00
  1.365830e+00   1.400159e+02   6.948392e+00
  1.368460e+00   1.406704e+02   6.880879e+00
  1.371090e+00   1.339727e+02   6.858132e+00
  1.373720e+00   1.346013e+02   6.868116e+00
  1.376350e+00   1.350644e+02   6.892558e+00
  1.378980e+00   1.266845e+02   6.876766e+00
  1.381610e+00   1.193144e+02   6.792173e+00
  1.384240e+00   1.252689e+02   6.815333e+00
  1.386880e+00   1.262462e+02   6.823195e+00
  1.389510e+00   1.265509e+02   6.805293e+00
  1.392140e+00   1.281261e+02   6.802007e+00
  1.394770e+00   1.288655e+02   6.812181e+00
  1.397400e+00   1.313566e+02   6.797690e+00
  1.400030e+00   1.176302e+02   6.764317e+00
  1.402660e+00   1.215193e+02   6.752600e+00
  1.405290e+00   1.229091e+02   6.768247e+00
  1.407920e+00   1.213106e+02   6.774421e+00
  1.410550e+00   1.188991e+02   6.765166e+00
  1.413180e+00   1.131297e+02   6.727945e+00
  1.415810e+00   1.136156e+02   6.718393e+00
  1.418440e+00   1.140670e+02   6.733200e+00
  1.421080e+00   1.090366e+02   6.726881e+00
  1.423710e+00   1.131588e+02   6.670846e+00
  1.426340e+00   1.305534e+02   6.756168e+00
  1.428970e+00   1.245163e+02   6.744953e+00
  1.431600e+00   1.152606e+02   6.720539e+00
  1.434230e+00   1.161378e+02   6.713178e+00
  1.436860e+00   1.191988e+02   6.667478e+00
  1.439490e+00   1.095262e+02   6.686799e+00
  1.442120e+00   1.082608e+02   6.662214e+00
  1.444750e+00   1.193068e+02   6.661872e+00
  1.447380e+00   1.090840e+02   6.640950e+00
  1.450010e+00   1.108905e+02   6.671148e+00
  1.452640e+00   1.059052e+02   6.656670e+00
  1.455280e+00   1.039882e+02   6.647319e+00
  1.457910e+00   1.029380e+02   6.619710e+00
  1.460540e+00   1.111695e+02   6.660805e+00
  1.463170e+00   1.041459e+02   6.641140e+00
  1.465800e+00   1.117270e+02   6.656218e+00
  1.468430e+00   9.751359e+01   6.573878e+00
  1.471060e+00   1.005765e+02   6.589733e+00
  1.473690e+00   1.012398e+02   6.586670e+00
  1.476320e+00   9.837717e+01   6.605236e+00
  1.478950e+00   9.915015e+01   6.594481e+00
  1.481580e+00   9.795434e+01   6.565663e+00
  1.484210e+00   9.760286e+01   6.608594e+00
  1.486840e+00   9.747589e+01   6.554541e+00
  1.489480e+00   1.010574e+02   6.557350e+00
  1.492110e+00   1.000412e+02   6.577580e+00
  1.494740e+00   9.909650e+01   6.555440e+00
  1.497370e+00   1.017392e+02   6.565648e+00
  1.500000e+00   9.395298e+01   6.540102e+00
  1.502630e+00   8.880845e+01   6.643100e+00
  1.505260e+00   8.948911e+01   6.706212e+00
  1.507890e+00   8.365162e+01   6.719780e+00
  1.510520e+00   9.409069e+01   6.797123e+00
  1.513150e+00   9.682856e+01   6.820608e+00
  1.515780e+00   9.652118e+01   6.850898e+00
  1.518410e+00   9.348946e+01   6.870271e+00
  1.521040e+00   8.975339e+01   6.879926e+00
  1.523670e+00   9.076921e+01   6.887476e+00
