Sample description: mLANA_B6_DTT
Sample: mLANA_B6_DTT  c= 5.0000 mg/ml  Code: B6_DTT
Parent(s): processed/subtracted/B6_DTT_0049_sub.dat
  1.067130e+00   1.734394e+02   1.099887e+01
  1.069760e+00   1.678028e+02   1.100403e+01
  1.072380e+00   1.710660e+02   1.107155e+01
  1.075010e+00   1.532582e+02   1.099575e+01
  1.077620e+00   1.847780e+02   1.098046e+01
  1.080250e+00   1.832020e+02   1.114681e+01
  1.082870e+00   1.614018e+02   1.091331e+01
  1.085500e+00   1.651314e+02   1.092657e+01
  1.088120e+00   1.493212e+02   1.088719e+01
  1.090750e+00   1.451916e+02   1.073186e+01
  1.093370e+00   1.470810e+02   1.090067e+01
  1.096000e+00   1.625646e+02   1.096570e+01
  1.098620e+00   1.453558e+02   1.084993e+01
  1.101240e+00   1.528758e+02   1.082595e+01
  1.103860e+00   1.595280e+02   1.102387e+01
  1.106490e+00   1.491524e+02   1.087613e+01
  1.109110e+00   1.637202e+02   1.095966e+01
  1.111740e+00   1.605454e+02   1.084590e+01
  1.114360e+00   1.489692e+02   1.092014e+01
  1.116990e+00   1.377380e+02   1.069414e+01
  1.119610e+00   1.321248e+02   1.075003e+01
  1.122240e+00   1.375520e+02   1.089469e+01
  1.124850e+00   1.528306e+02   1.081022e+01
  1.127480e+00   1.409716e+02   1.065766e+01
  1.130100e+00   1.229852e+02   1.062329e+01
  1.132720e+00   1.438348e+02   1.081809e+01
  1.135350e+00   1.392650e+02   1.084818e+01
  1.137970e+00   1.222368e+02   1.083535e+01
  1.140600e+00   1.110982e+02   1.064603e+01
  1.143220e+00   1.305760e+02   1.075741e+01
  1.145850e+00   1.069344e+02   1.044715e+01
  1.148470e+00   1.301350e+02   1.075941e+01
  1.151090e+00   1.314872e+02   1.080918e+01
  1.153710e+00   1.228642e+02   1.075803e+01
  1.156340e+00   1.145578e+02   1.065865e+01
  1.158960e+00   1.232122e+02   1.072538e+01
  1.161590e+00   1.206956e+02   1.064644e+01
  1.164210e+00   1.032360e+02   1.059184e+01
  1.166840e+00   1.138468e+02   1.058870e+01
  1.169460e+00   1.227312e+02   1.071000e+01
  1.172090e+00   1.144804e+02   1.063051e+01
  1.174700e+00   1.159486e+02   1.058604e+01
  1.177330e+00   1.013204e+02   1.051036e+01
  1.179950e+00   1.223692e+02   1.069602e+01
  1.182580e+00   1.120934e+02   1.065145e+01
  1.185200e+00   1.051966e+02   1.053504e+01
  1.187830e+00   1.320778e+02   1.087207e+01
  1.190450e+00   1.134872e+02   1.050876e+01
  1.193080e+00   1.037606e+02   1.041441e+01
  1.195700e+00   1.186516e+02   1.061462e+01
  1.198310e+00   1.010278e+02   1.059202e+01
  1.200940e+00   1.056624e+02   1.053365e+01
  1.203560e+00   1.044414e+02   1.050743e+01
  1.206190e+00   1.106190e+02   1.058818e+01
  1.208810e+00   9.167180e+01   1.037893e+01
  1.211440e+00   1.037434e+02   1.034912e+01
  1.214060e+00   9.985220e+01   1.049004e+01
  1.216690e+00   1.087802e+02   1.058408e+01
  1.219310e+00   1.042426e+02   1.062631e+01
  1.221940e+00   1.213346e+02   1.069042e+01
  1.224550e+00   8.878180e+01   1.040457e+01
  1.227180e+00   1.017750e+02   1.043137e+01
  1.229800e+00   8.528000e+01   1.034384e+01
  1.232430e+00   1.020818e+02   1.052596e+01
  1.235050e+00   9.345160e+01   1.040247e+01
  1.237680e+00   8.801540e+01   1.040265e+01
  1.240300e+00   8.277920e+01   1.040372e+01
  1.242930e+00   7.983920e+01   1.051719e+01
  1.245550e+00   1.102408e+02   1.053651e+01
  1.248170e+00   9.652540e+01   1.029840e+01
  1.250790e+00   8.151440e+01   1.038029e+01
  1.253420e+00   9.184400e+01   1.058214e+01
  1.256040e+00   7.873260e+01   1.030249e+01
  1.258670e+00   8.552960e+01   1.034227e+01
  1.261290e+00   8.183060e+01   1.052840e+01
  1.263910e+00   6.410880e+01   1.028781e+01
