 19-May-2006       (cal_031.dat - 1.000 *Avrag07.dat) /  3.9050               
cal_031.dat   Conc = .39E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
 Avrag07.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
  0.688720E+00  0.276133E+02  0.277728E+00
  0.691004E+00  0.269337E+02  0.275029E+00
  0.693289E+00  0.272307E+02  0.275261E+00
  0.695573E+00  0.257693E+02  0.271910E+00
  0.697858E+00  0.266522E+02  0.273577E+00
  0.700142E+00  0.258446E+02  0.272577E+00
  0.702427E+00  0.257762E+02  0.270396E+00
  0.704711E+00  0.259882E+02  0.269118E+00
  0.706996E+00  0.260246E+02  0.269468E+00
  0.709281E+00  0.256714E+02  0.270036E+00
  0.711565E+00  0.249851E+02  0.266706E+00
  0.713850E+00  0.245186E+02  0.266150E+00
  0.716134E+00  0.237657E+02  0.265538E+00
  0.718419E+00  0.243923E+02  0.264722E+00
  0.720703E+00  0.242187E+02  0.266286E+00
  0.722988E+00  0.240658E+02  0.260981E+00
  0.725272E+00  0.237601E+02  0.264387E+00
  0.727557E+00  0.238794E+02  0.261472E+00
  0.729842E+00  0.241106E+02  0.261559E+00
  0.732126E+00  0.233539E+02  0.261439E+00
  0.734411E+00  0.231035E+02  0.256968E+00
  0.736695E+00  0.229068E+02  0.260531E+00
  0.738980E+00  0.227257E+02  0.258038E+00
  0.741264E+00  0.227291E+02  0.257909E+00
  0.743549E+00  0.226761E+02  0.256801E+00
  0.745834E+00  0.226036E+02  0.253927E+00
  0.748118E+00  0.221519E+02  0.256760E+00
  0.750403E+00  0.222812E+02  0.253787E+00
  0.752687E+00  0.222382E+02  0.253957E+00
  0.754972E+00  0.221647E+02  0.254189E+00
  0.757256E+00  0.225078E+02  0.251474E+00
  0.759541E+00  0.224405E+02  0.253989E+00
  0.761825E+00  0.220763E+02  0.250431E+00
  0.764110E+00  0.219598E+02  0.251832E+00
  0.766395E+00  0.220707E+02  0.250114E+00
  0.768679E+00  0.214942E+02  0.249513E+00
  0.770964E+00  0.215560E+02  0.248960E+00
  0.773248E+00  0.214289E+02  0.246659E+00
  0.775533E+00  0.208894E+02  0.248600E+00
  0.777817E+00  0.207951E+02  0.245612E+00
  0.780102E+00  0.213649E+02  0.246405E+00
  0.782386E+00  0.209926E+02  0.246190E+00
  0.784671E+00  0.201754E+02  0.243745E+00
  0.786956E+00  0.202433E+02  0.245645E+00
  0.789240E+00  0.203601E+02  0.241612E+00
  0.791525E+00  0.205447E+02  0.242971E+00
  0.793809E+00  0.201882E+02  0.242564E+00
  0.796094E+00  0.203631E+02  0.241997E+00
