Sample description: TG2 GDP
Sample: TG2 GDP  c= 5.5000 mg/ml  Code: TG2_clos
Parent(s): processed/subtracted/TG2_clos_0019_sub.dat
  1.115950e+00   9.015982e+01   6.397980e+00
  1.118590e+00   8.426815e+01   6.361304e+00
  1.121220e+00   8.912658e+01   6.357260e+00
  1.123860e+00   7.763095e+01   6.251373e+00
  1.126490e+00   7.625562e+01   6.169271e+00
  1.129130e+00   8.189760e+01   6.239595e+00
  1.131760e+00   7.895007e+01   6.207593e+00
  1.134390e+00   7.107915e+01   6.040145e+00
  1.137030e+00   8.475024e+01   6.248345e+00
  1.139660e+00   6.899311e+01   6.042825e+00
  1.142300e+00   6.857887e+01   6.032262e+00
  1.144930e+00   7.824213e+01   6.194824e+00
  1.147570e+00   7.282651e+01   6.109175e+00
  1.150200e+00   7.764164e+01   6.142182e+00
  1.152840e+00   7.271098e+01   6.067073e+00
  1.155470e+00   7.134264e+01   6.010282e+00
  1.158110e+00   7.052553e+01   6.022480e+00
  1.160740e+00   7.061131e+01   5.965891e+00
  1.163380e+00   6.663224e+01   5.972562e+00
  1.166010e+00   6.551884e+01   5.880056e+00
  1.168650e+00   7.218931e+01   6.024067e+00
  1.171280e+00   7.321687e+01   6.006491e+00
  1.173910e+00   6.762816e+01   5.908949e+00
  1.176550e+00   7.472718e+01   6.031338e+00
  1.179180e+00   6.435304e+01   5.869647e+00
  1.181820e+00   6.941455e+01   5.912875e+00
  1.184450e+00   6.295255e+01   5.768605e+00
  1.187090e+00   6.519445e+01   5.851733e+00
  1.189720e+00   6.207335e+01   5.837209e+00
  1.192360e+00   6.250353e+01   5.804245e+00
  1.194990e+00   6.797465e+01   5.806240e+00
  1.197630e+00   6.477064e+01   5.799660e+00
  1.200260e+00   6.507107e+01   5.793673e+00
  1.202900e+00   5.721304e+01   5.637102e+00
  1.205530e+00   6.262184e+01   5.651231e+00
  1.208170e+00   6.243060e+01   5.724058e+00
  1.210800e+00   6.617191e+01   5.727715e+00
  1.213430e+00   6.181885e+01   5.699842e+00
  1.216070e+00   5.780662e+01   5.651309e+00
  1.218700e+00   6.304847e+01   5.660065e+00
  1.221340e+00   6.552815e+01   5.733751e+00
  1.223970e+00   6.157402e+01   5.611927e+00
  1.226610e+00   5.895540e+01   5.604555e+00
  1.229240e+00   5.601205e+01   5.525207e+00
  1.231880e+00   6.112631e+01   5.602220e+00
  1.234510e+00   6.219598e+01   5.642718e+00
  1.237150e+00   5.740860e+01   5.568616e+00
  1.239780e+00   5.580971e+01   5.540131e+00
  1.242420e+00   5.200935e+01   5.495853e+00
  1.245050e+00   5.678885e+01   5.594218e+00
  1.247680e+00   5.187024e+01   5.512309e+00
  1.250320e+00   5.463331e+01   5.470658e+00
  1.252950e+00   5.439364e+01   5.524589e+00
  1.255590e+00   4.935645e+01   5.401315e+00
  1.258220e+00   5.476482e+01   5.494280e+00
  1.260860e+00   4.537611e+01   5.359685e+00
  1.263490e+00   4.466809e+01   5.329516e+00
  1.266130e+00   4.563649e+01   5.385771e+00
  1.268760e+00   4.506331e+01   5.361249e+00
  1.271400e+00   4.113124e+01   5.318705e+00
  1.274030e+00   4.901658e+01   5.382424e+00
  1.276670e+00   5.749958e+01   5.461569e+00
  1.279300e+00   4.491196e+01   5.287485e+00
  1.281940e+00   4.680753e+01   5.300022e+00
  1.284570e+00   5.063296e+01   5.353342e+00
  1.287200e+00   4.806682e+01   5.316118e+00
  1.289840e+00   5.273493e+01   5.395016e+00
  1.292470e+00   4.045978e+01   5.223093e+00
  1.295110e+00   3.955249e+01   5.213356e+00
  1.297740e+00   4.417402e+01   5.246184e+00
  1.300380e+00   4.311840e+01   5.263722e+00
  1.303010e+00   4.751833e+01   5.313655e+00
  1.305650e+00   5.086445e+01   5.322622e+00
  1.308280e+00   4.324082e+01   5.212069e+00
  1.310920e+00   4.539007e+01   5.225196e+00
  1.313550e+00   4.773195e+01   5.266944e+00
  1.316190e+00   3.856453e+01   5.175278e+00
  1.318820e+00   3.464955e+01   5.036622e+00
  1.321460e+00   3.772305e+01   5.066982e+00
  1.324090e+00   4.265525e+01   5.137427e+00
  1.326720e+00   3.894340e+01   5.077613e+00
  1.329360e+00   3.800240e+01   5.092607e+00
  1.331990e+00   4.223335e+01   5.130645e+00
  1.334630e+00   3.574615e+01   5.100613e+00
  1.337260e+00   3.499218e+01   5.068104e+00
  1.339900e+00   3.929393e+01   5.106849e+00
  1.342530e+00   4.316315e+01   5.118033e+00
  1.345170e+00   3.246107e+01   5.019607e+00
  1.347800e+00   3.316693e+01   4.989589e+00
  1.350440e+00   3.260971e+01   4.987087e+00
  1.353070e+00   3.637705e+01   4.982753e+00
  1.355710e+00   3.676218e+01   5.011978e+00
  1.358340e+00   4.223275e+01   5.087856e+00
  1.360970e+00   4.272764e+01   5.060144e+00
  1.363610e+00   3.560213e+01   4.973144e+00
  1.366240e+00   3.894376e+01   5.043035e+00
  1.368880e+00   3.307695e+01   5.012505e+00
  1.371510e+00   3.934053e+01   5.037024e+00
  1.374150e+00   3.045820e+01   4.890865e+00
  1.376780e+00   2.745433e+01   4.805107e+00
  1.379420e+00   2.826651e+01   4.874365e+00
  1.382050e+00   3.237515e+01   4.897942e+00
  1.384690e+00   2.900458e+01   4.871189e+00
  1.387320e+00   2.726729e+01   4.798775e+00
  1.389960e+00   3.137562e+01   4.871027e+00
  1.392590e+00   3.722587e+01   4.927858e+00
  1.395230e+00   4.088785e+01   4.974589e+00
  1.397860e+00   3.869224e+01   4.947007e+00
  1.400490e+00   3.268640e+01   4.896155e+00
  1.403130e+00   3.202922e+01   4.834809e+00
  1.405760e+00   2.333493e+01   4.742593e+00
  1.408400e+00   2.951313e+01   4.765944e+00
  1.411030e+00   2.897867e+01   4.805609e+00
  1.413670e+00   3.005169e+01   4.833287e+00
  1.416300e+00   2.669707e+01   4.780667e+00
  1.418940e+00   2.392420e+01   4.759373e+00
  1.421570e+00   2.908327e+01   4.748785e+00
  1.424210e+00   2.956173e+01   4.811989e+00
  1.426840e+00   3.442389e+01   4.823373e+00
  1.429480e+00   2.357340e+01   4.704307e+00
  1.432110e+00   2.646760e+01   4.738916e+00
  1.434750e+00   3.093756e+01   4.829244e+00
  1.437380e+00   2.912496e+01   4.827125e+00
  1.440010e+00   2.966002e+01   4.768925e+00
  1.442650e+00   2.491340e+01   4.699765e+00
  1.445280e+00   2.773505e+01   4.755087e+00
  1.447920e+00   2.909464e+01   4.788235e+00
  1.450550e+00   2.963189e+01   4.753209e+00
  1.453190e+00   2.843358e+01   4.744198e+00
  1.455820e+00   3.463631e+01   4.820820e+00
  1.458460e+00   3.275831e+01   4.803131e+00
