Sample description: Sub_Ave_zarp_0079_1608-Ave_Tp_0078_855
Sample: Sub_Ave_zarp_00  c= 0 mg/ml  Code: 
 2.223952e+000  3.160618e-004  2.400613e-005
 2.229576e+000  3.434197e-004  2.397628e-005
 2.235201e+000  3.326695e-004  2.392881e-005
 2.240825e+000  3.599753e-004  2.393282e-005
 2.246450e+000  3.161383e-004  2.384932e-005
 2.252074e+000  2.926788e-004  2.383529e-005
 2.257699e+000  2.762547e-004  2.380899e-005
 2.263323e+000  2.628574e-004  2.376968e-005
 2.268947e+000  2.555514e-004  2.377059e-005
 2.274572e+000  2.604506e-004  2.369304e-005
 2.280196e+000  2.936985e-004  2.368950e-005
 2.285820e+000  3.404572e-004  2.369429e-005
 2.291444e+000  3.727076e-004  2.371363e-005
 2.297068e+000  3.613625e-004  2.373165e-005
 2.302692e+000  3.277041e-004  2.367420e-005
 2.308316e+000  3.688758e-004  2.368889e-005
 2.313940e+000  3.242599e-004  2.363207e-005
 2.319564e+000  3.085407e-004  2.360621e-005
 2.325188e+000  3.792434e-004  2.361112e-005
 2.330812e+000  3.017458e-004  2.358075e-005
 2.336435e+000  3.054620e-004  2.359022e-005
 2.342059e+000  3.230589e-004  2.355019e-005
 2.347683e+000  3.509254e-004  2.355022e-005
 2.353306e+000  3.116831e-004  2.349842e-005
 2.358930e+000  3.130278e-004  2.348039e-005
 2.364553e+000  3.030309e-004  2.348547e-005
 2.370177e+000  2.464644e-004  2.341237e-005
 2.375800e+000  2.894080e-004  2.343346e-005
 2.381424e+000  3.363406e-004  2.339330e-005
 2.387047e+000  2.927295e-004  2.338042e-005
 2.392670e+000  2.413931e-004  2.337812e-005
 2.398294e+000  2.217614e-004  2.332688e-005
 2.403917e+000  2.273738e-004  2.333648e-005
 2.409540e+000  2.146675e-004  2.327519e-005
 2.415163e+000  2.212329e-004  2.329714e-005
 2.420786e+000  2.501967e-004  2.327413e-005
 2.426409e+000  2.581271e-004  2.324387e-005
 2.432032e+000  2.850291e-004  2.325541e-005
 2.437655e+000  2.919383e-004  2.319874e-005
 2.443278e+000  2.681015e-004  2.322749e-005
 2.448901e+000  2.950650e-004  2.321076e-005
 2.454524e+000  3.403100e-004  2.319217e-005
 2.460146e+000  3.446460e-004  2.321035e-005
 2.465769e+000  3.575986e-004  2.315737e-005
 2.471392e+000  3.020036e-004  2.316480e-005
