Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: DCC56_hi
Parent(s): DCC56_hi_0058.dat DCC56_0006.dat DCC56_0004.dat DCC56_hi_0056.dat
  6.160640e-01   4.615436e+02   9.802842e+00
  6.186950e-01   4.383709e+02   9.655209e+00
  6.213260e-01   4.361821e+02   9.574967e+00
  6.239570e-01   4.351715e+02   9.547785e+00
  6.265870e-01   4.470515e+02   9.709070e+00
  6.292180e-01   4.319661e+02   9.566097e+00
  6.318490e-01   4.297197e+02   9.436561e+00
  6.344800e-01   4.333761e+02   9.470194e+00
  6.371100e-01   4.205700e+02   9.397558e+00
  6.397410e-01   4.289815e+02   9.515364e+00
  6.423720e-01   4.103688e+02   9.310373e+00
  6.450030e-01   4.171479e+02   9.321145e+00
  6.476330e-01   4.119115e+02   9.360691e+00
  6.502640e-01   4.062945e+02   9.234545e+00
  6.528950e-01   4.102027e+02   9.235367e+00
  6.555260e-01   4.132491e+02   9.169182e+00
  6.581560e-01   4.175148e+02   9.178218e+00
  6.607870e-01   4.209021e+02   9.128648e+00
  6.634180e-01   4.132400e+02   9.093194e+00
  6.660490e-01   3.876770e+02   8.985018e+00
  6.686790e-01   3.819348e+02   8.982936e+00
  6.713100e-01   3.852988e+02   9.037227e+00
  6.739410e-01   4.055200e+02   9.034064e+00
  6.765720e-01   3.900997e+02   8.915436e+00
  6.792020e-01   3.860352e+02   8.947012e+00
  6.818330e-01   3.956976e+02   8.947970e+00
  6.844640e-01   3.858197e+02   8.973052e+00
  6.870950e-01   3.847252e+02   8.925164e+00
  6.897250e-01   3.950564e+02   8.948776e+00
  6.923560e-01   3.728782e+02   8.849782e+00
  6.949870e-01   3.797058e+02   8.831276e+00
  6.976180e-01   3.680636e+02   8.787539e+00
  7.002490e-01   3.689582e+02   8.708036e+00
  7.028790e-01   3.612361e+02   8.852467e+00
  7.055100e-01   3.728982e+02   8.721094e+00
  7.081410e-01   3.632882e+02   8.674370e+00
  7.107720e-01   3.541491e+02   8.704518e+00
  7.134020e-01   3.677573e+02   8.655161e+00
  7.160330e-01   3.812227e+02   8.754394e+00
  7.186640e-01   3.666836e+02   8.655506e+00
  7.212950e-01   3.544533e+02   8.595127e+00
  7.239250e-01   3.576591e+02   8.601779e+00
  7.265560e-01   3.493545e+02   8.554342e+00
  7.291870e-01   3.467697e+02   8.591355e+00
  7.318180e-01   3.402127e+02   8.494118e+00
  7.344480e-01   3.501561e+02   8.477436e+00
  7.370790e-01   3.447445e+02   8.465633e+00
  7.397100e-01   3.531227e+02   8.385318e+00
  7.423410e-01   3.466079e+02   8.451385e+00
  7.449710e-01   3.462100e+02   8.429567e+00
  7.476020e-01   3.231082e+02   8.374894e+00
  7.502330e-01   3.258518e+02   8.360758e+00
  7.528640e-01   3.366303e+02   8.351103e+00
  7.554940e-01   3.365494e+02   8.241167e+00
  7.581250e-01   3.418470e+02   8.388100e+00
  7.607560e-01   3.305997e+02   8.245903e+00
  7.633870e-01   3.262230e+02   8.221185e+00
  7.660170e-01   3.260212e+02   8.257921e+00
  7.686480e-01   3.298467e+02   8.189588e+00
  7.712790e-01   3.159555e+02   8.212648e+00
  7.739100e-01   3.203606e+02   8.124352e+00
  7.765400e-01   3.062164e+02   8.126021e+00
  7.791710e-01   3.258376e+02   8.257997e+00
  7.818020e-01   3.318064e+02   8.230806e+00
  7.844330e-01   3.097827e+02   8.352836e+00
  7.870630e-01   3.155136e+02   8.439518e+00
  7.896940e-01   3.156912e+02   8.393391e+00
  7.923250e-01   3.082912e+02   8.589658e+00
  7.949560e-01   3.085445e+02   8.480533e+00
  7.975860e-01   3.032224e+02   8.558324e+00
  8.002170e-01   3.147076e+02   8.426367e+00
  8.028480e-01   2.974170e+02   8.214294e+00
  8.054790e-01   2.982748e+02   8.248197e+00
  8.081090e-01   3.244812e+02   8.159382e+00
  8.107400e-01   3.000336e+02   8.065227e+00
  8.133710e-01   2.912733e+02   7.990745e+00
  8.160020e-01   2.969336e+02   7.949248e+00
  8.186320e-01   2.895473e+02   7.998645e+00
  8.212630e-01   3.023676e+02   7.891230e+00
  8.238940e-01   2.868648e+02   7.915930e+00
  8.265250e-01   2.799867e+02   7.946348e+00
  8.291560e-01   3.029379e+02   7.851527e+00
  8.317860e-01   2.915085e+02   7.941548e+00
  8.344170e-01   2.702673e+02   7.751739e+00
  8.370480e-01   2.725779e+02   7.784555e+00
  8.396790e-01   2.882397e+02   7.822703e+00
  8.423090e-01   2.752179e+02   7.766082e+00
  8.449400e-01   2.789030e+02   7.762991e+00
  8.475710e-01   2.759606e+02   7.705691e+00
  8.502020e-01   2.754852e+02   7.742755e+00
  8.528320e-01   2.799106e+02   7.682939e+00
  8.554630e-01   2.754933e+02   7.663073e+00
  8.580940e-01   2.884567e+02   7.730394e+00
  8.607250e-01   2.755088e+02   7.645085e+00
  8.633550e-01   2.695076e+02   7.679855e+00
  8.659860e-01   2.716533e+02   7.599164e+00
  8.686170e-01   2.643015e+02   7.543245e+00
  8.712480e-01   2.491542e+02   7.548448e+00
  8.738780e-01   2.745621e+02   7.624818e+00
  8.765090e-01   2.761770e+02   7.492152e+00
  8.791400e-01   2.590373e+02   7.516052e+00
  8.817710e-01   2.693573e+02   7.538912e+00
  8.844010e-01   2.522788e+02   7.404752e+00
  8.870320e-01   2.624994e+02   7.467961e+00
  8.896630e-01   2.564179e+02   7.408709e+00
  8.922940e-01   2.594264e+02   7.476764e+00
  8.949240e-01   2.653652e+02   7.389594e+00
  8.975550e-01   2.472782e+02   7.383339e+00
  9.001860e-01   2.621573e+02   7.413467e+00
  9.028170e-01   2.522736e+02   7.389236e+00
  9.054470e-01   2.514958e+02   7.390412e+00
  9.080780e-01   2.371670e+02   7.400127e+00
  9.107090e-01   2.437833e+02   7.306803e+00
  9.133400e-01   2.563130e+02   7.396164e+00
  9.159700e-01   2.490421e+02   7.321212e+00
  9.186010e-01   2.552936e+02   7.330991e+00
  9.212320e-01   2.383094e+02   7.282518e+00
  9.238630e-01   2.482203e+02   7.247655e+00
  9.264930e-01   2.488627e+02   7.281724e+00
  9.291240e-01   2.360600e+02   7.254730e+00
  9.317550e-01   2.426388e+02   7.261036e+00
  9.343860e-01   2.418067e+02   7.193576e+00
  9.370160e-01   2.481964e+02   7.217921e+00
  9.396470e-01   2.404527e+02   7.229603e+00
  9.422780e-01   2.455803e+02   7.241364e+00
  9.449090e-01   2.308327e+02   7.290667e+00
  9.475390e-01   2.208148e+02   7.329085e+00
  9.501700e-01   2.214248e+02   7.414391e+00
  9.528010e-01   2.350400e+02   7.506106e+00
  9.554320e-01   2.384688e+02   7.517079e+00
  9.580630e-01   2.263830e+02   7.547873e+00
  9.606930e-01   2.362345e+02   7.552176e+00
  9.633240e-01   2.210548e+02   7.630000e+00
  9.659550e-01   2.353248e+02   7.612958e+00
  9.685860e-01   2.432515e+02   7.681142e+00
  9.712160e-01   2.190815e+02   7.619324e+00
  9.738470e-01   2.208921e+02   7.652212e+00
  9.764780e-01   2.325570e+02   7.721270e+00
  9.791090e-01   2.188491e+02   7.650821e+00
  9.817390e-01   2.174912e+02   7.685718e+00
  9.843700e-01   2.212409e+02   7.760721e+00
  9.870010e-01   2.181012e+02   7.730876e+00
  9.896320e-01   2.217491e+02   7.563770e+00
  9.922620e-01   2.311945e+02   7.539712e+00
  9.948930e-01   2.145930e+02   7.476079e+00
  9.975240e-01   2.139052e+02   7.366064e+00
  1.000150e+00   2.241767e+02   7.316309e+00
  1.002790e+00   2.121158e+02   7.284745e+00
  1.005420e+00   2.068100e+02   7.281721e+00
  1.008050e+00   2.171248e+02   7.309933e+00
  1.010680e+00   2.096339e+02   7.173915e+00
  1.013310e+00   2.094542e+02   7.173379e+00
  1.015940e+00   2.037797e+02   7.159142e+00
  1.018570e+00   1.996279e+02   7.134476e+00
  1.021200e+00   2.112533e+02   7.112797e+00
  1.023830e+00   2.021115e+02   7.061703e+00
  1.026460e+00   2.163842e+02   7.132355e+00
  1.029090e+00   2.044321e+02   7.021018e+00
  1.031720e+00   2.013412e+02   7.077948e+00
  1.034350e+00   2.066758e+02   6.977955e+00
  1.036990e+00   1.988364e+02   6.967679e+00
  1.039620e+00   2.040200e+02   7.029706e+00
  1.042250e+00   1.991315e+02   6.968076e+00
  1.044880e+00   2.011679e+02   6.921212e+00
  1.047510e+00   2.084915e+02   6.948467e+00
  1.050140e+00   2.007664e+02   6.930397e+00
  1.052770e+00   1.989733e+02   6.924945e+00
  1.055400e+00   2.014527e+02   6.882133e+00
  1.058030e+00   2.072752e+02   6.901430e+00
  1.060660e+00   1.972739e+02   6.886633e+00
  1.063290e+00   2.074348e+02   6.848358e+00
  1.065920e+00   1.919415e+02   6.861488e+00
  1.068550e+00   1.959833e+02   6.778306e+00
  1.071180e+00   2.018218e+02   6.851694e+00
  1.073820e+00   1.966703e+02   6.786736e+00
  1.076450e+00   1.911661e+02   6.776082e+00
  1.079080e+00   1.942233e+02   6.760727e+00
  1.081710e+00   1.907085e+02   6.677245e+00
  1.084340e+00   1.942830e+02   6.761012e+00
  1.086970e+00   1.922161e+02   6.704870e+00
  1.089600e+00   2.008497e+02   6.694097e+00
  1.092230e+00   1.861206e+02   6.700182e+00
  1.094860e+00   1.862524e+02   6.632873e+00
  1.097490e+00   1.849079e+02   6.674370e+00
  1.100120e+00   1.955427e+02   6.652976e+00
  1.102750e+00   1.777294e+02   6.575339e+00
  1.105380e+00   1.815303e+02   6.666594e+00
  1.108020e+00   1.905248e+02   6.550067e+00
  1.110650e+00   1.771921e+02   6.554327e+00
  1.113280e+00   1.835203e+02   6.542794e+00
  1.115910e+00   1.858521e+02   6.585597e+00
  1.118540e+00   1.790867e+02   6.608152e+00
  1.121170e+00   1.801285e+02   6.543621e+00
  1.123800e+00   1.695136e+02   6.512855e+00
  1.126430e+00   1.792394e+02   6.559006e+00
  1.129060e+00   1.740612e+02   6.502100e+00
  1.131690e+00   1.724024e+02   6.530300e+00
  1.134320e+00   1.823979e+02   6.491794e+00
  1.136950e+00   1.793197e+02   6.477564e+00
  1.139580e+00   1.772409e+02   6.524252e+00
  1.142220e+00   1.809045e+02   6.477073e+00
  1.144850e+00   1.760542e+02   6.452267e+00
  1.147480e+00   1.753230e+02   6.468464e+00
  1.150110e+00   1.772697e+02   6.401376e+00
  1.152740e+00   1.792833e+02   6.461448e+00
  1.155370e+00   1.605167e+02   6.427845e+00
  1.158000e+00   1.647982e+02   6.372809e+00
  1.160630e+00   1.798648e+02   6.430106e+00
  1.163260e+00   1.666761e+02   6.374015e+00
  1.165890e+00   1.621264e+02   6.424600e+00
  1.168520e+00   1.721691e+02   6.329067e+00
  1.171150e+00   1.703109e+02   6.351997e+00
  1.173780e+00   1.700212e+02   6.373161e+00
  1.176420e+00   1.636867e+02   6.314070e+00
  1.179050e+00   1.586870e+02   6.349930e+00
