 22-Oct-2005       (fran2_080.d - 1.000 *Avrag05.dat) /  5.5000
fran2_080.da  Conc = .55E+01  Mult = .10E+01  N1 =    1  N2 = 2127  SCALE =  1
 Avrag05.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2127  SCALE =  1
  0.963847E+00  0.155493E+06  0.164174E+04
  0.966097E+00  0.153462E+06  0.162515E+04
  0.968347E+00  0.150780E+06  0.163405E+04
  0.970596E+00  0.148727E+06  0.162059E+04
  0.972846E+00  0.149900E+06  0.163222E+04
  0.975096E+00  0.153242E+06  0.162290E+04
  0.977346E+00  0.152356E+06  0.162139E+04
  0.979595E+00  0.152611E+06  0.162801E+04
  0.981845E+00  0.145936E+06  0.160995E+04
  0.984095E+00  0.145273E+06  0.161851E+04
  0.986344E+00  0.142580E+06  0.160594E+04
  0.988594E+00  0.147085E+06  0.160943E+04
  0.990844E+00  0.148055E+06  0.161623E+04
  0.993093E+00  0.145524E+06  0.160254E+04
  0.995343E+00  0.141636E+06  0.160722E+04
  0.997593E+00  0.140518E+06  0.158934E+04
  0.999843E+00  0.138464E+06  0.160896E+04
  0.100209E+01  0.137993E+06  0.160547E+04
  0.100434E+01  0.135807E+06  0.158516E+04
  0.100659E+01  0.133002E+06  0.159416E+04
  0.100884E+01  0.133962E+06  0.157675E+04
  0.101109E+01  0.132311E+06  0.159879E+04
  0.101334E+01  0.132180E+06  0.158172E+04
  0.101559E+01  0.132493E+06  0.158190E+04
  0.101784E+01  0.132405E+06  0.158519E+04
  0.102009E+01  0.133996E+06  0.157919E+04
  0.102234E+01  0.132207E+06  0.159212E+04
  0.102459E+01  0.126542E+06  0.156602E+04
  0.102684E+01  0.127356E+06  0.157219E+04
  0.102909E+01  0.128487E+06  0.157873E+04
  0.103134E+01  0.132764E+06  0.156746E+04
  0.103359E+01  0.130896E+06  0.157497E+04
  0.103584E+01  0.125975E+06  0.155237E+04
  0.103809E+01  0.121193E+06  0.156732E+04
  0.104034E+01  0.122118E+06  0.156576E+04
  0.104259E+01  0.128416E+06  0.155975E+04
  0.104484E+01  0.123916E+06  0.156042E+04
  0.104709E+01  0.122227E+06  0.155041E+04
  0.104934E+01  0.122244E+06  0.156781E+04
  0.105159E+01  0.124011E+06  0.154705E+04
  0.105384E+01  0.119724E+06  0.155010E+04
  0.105608E+01  0.118355E+06  0.155386E+04
  0.105833E+01  0.116302E+06  0.154323E+04
  0.106058E+01  0.121927E+06  0.155863E+04
  0.106283E+01  0.120336E+06  0.153385E+04
  0.106508E+01  0.119055E+06  0.154261E+04
  0.106733E+01  0.117811E+06  0.153888E+04
  0.106958E+01  0.118582E+06  0.153662E+04
  0.107183E+01  0.116898E+06  0.154031E+04
  0.107408E+01  0.114175E+06  0.152479E+04
  0.107633E+01  0.112347E+06  0.153359E+04
  0.107858E+01  0.114549E+06  0.153116E+04
  0.108083E+01  0.112578E+06  0.152365E+04
  0.108308E+01  0.110958E+06  0.152770E+04
  0.108533E+01  0.109587E+06  0.152012E+04
  0.108758E+01  0.110100E+06  0.153466E+04
  0.108983E+01  0.109469E+06  0.151241E+04
  0.109208E+01  0.105775E+06  0.151129E+04
  0.109433E+01  0.105209E+06  0.151801E+04
  0.109658E+01  0.106571E+06  0.151341E+04
  0.109883E+01  0.106993E+06  0.152193E+04
  0.110108E+01  0.106007E+06  0.149992E+04
  0.110333E+01  0.104547E+06  0.150880E+04
  0.110558E+01  0.104011E+06  0.150756E+04
  0.110783E+01  0.105331E+06  0.150947E+04
  0.111008E+01  0.102215E+06  0.150375E+04
  0.111233E+01  0.999182E+05  0.149736E+04
  0.111458E+01  0.101456E+06  0.150832E+04
  0.111683E+01  0.100944E+06  0.149812E+04
  0.111908E+01  0.989182E+05  0.149521E+04
  0.112133E+01  0.989636E+05  0.149595E+04
  0.112358E+01  0.999527E+05  0.148981E+04
  0.112583E+01  0.992727E+05  0.150019E+04
  0.112808E+01  0.979218E+05  0.148481E+04
  0.113033E+01  0.996436E+05  0.149095E+04
  0.113257E+01  0.963091E+05  0.148827E+04
  0.113482E+01  0.937509E+05  0.148411E+04
  0.113707E+01  0.909418E+05  0.148466E+04
  0.113932E+01  0.941000E+05  0.147156E+04
  0.114157E+01  0.937127E+05  0.148765E+04
  0.114382E+01  0.925000E+05  0.147789E+04
  0.114607E+01  0.906145E+05  0.148302E+04
  0.114832E+01  0.916909E+05  0.147186E+04
  0.115057E+01  0.911818E+05  0.146790E+04
  0.115282E+01  0.900109E+05  0.148452E+04
  0.115507E+01  0.901782E+05  0.146453E+04
  0.115732E+01  0.903073E+05  0.147303E+04
  0.115957E+01  0.887073E+05  0.146593E+04
  0.116182E+01  0.845655E+05  0.146004E+04
  0.116407E+01  0.857018E+05  0.147534E+04
  0.116632E+01  0.874964E+05  0.145126E+04
  0.116857E+01  0.913582E+05  0.146354E+04
  0.117082E+01  0.874709E+05  0.146152E+04
  0.117307E+01  0.885727E+05  0.146223E+04
  0.117532E+01  0.858109E+05  0.146174E+04
  0.117757E+01  0.859927E+05  0.144123E+04
  0.117982E+01  0.849964E+05  0.146414E+04
  0.118207E+01  0.817800E+05  0.145044E+04
  0.118432E+01  0.825709E+05  0.145574E+04
  0.118657E+01  0.809327E+05  0.145079E+04
  0.118882E+01  0.815382E+05  0.144145E+04
  0.119107E+01  0.801582E+05  0.145338E+04
  0.119332E+01  0.777745E+05  0.144261E+04
  0.119557E+01  0.787236E+05  0.144789E+04
  0.119782E+01  0.788836E+05  0.144133E+04
  0.120007E+01  0.765836E+05  0.143735E+04
  0.120232E+01  0.784436E+05  0.144817E+04
  0.120457E+01  0.766855E+05  0.142745E+04
  0.120681E+01  0.738182E+05  0.143692E+04
  0.120906E+01  0.745327E+05  0.143267E+04
  0.121131E+01  0.758600E+05  0.143554E+04
  0.121356E+01  0.759073E+05  0.143541E+04
  0.121581E+01  0.749764E+05  0.142202E+04
  0.121806E+01  0.753000E+05  0.143118E+04
  0.122031E+01  0.727127E+05  0.142771E+04
  0.122256E+01  0.752073E+05  0.143166E+04
  0.122481E+01  0.749164E+05  0.143068E+04
  0.122706E+01  0.730964E+05  0.142059E+04
  0.122931E+01  0.702582E+05  0.142789E+04
  0.123156E+01  0.674545E+05  0.141358E+04
  0.123381E+01  0.676273E+05  0.141980E+04
  0.123606E+01  0.698018E+05  0.141664E+04
  0.123831E+01  0.722273E+05  0.142046E+04
  0.124056E+01  0.727455E+05  0.142389E+04
  0.124281E+01  0.706036E+05  0.140466E+04
  0.124506E+01  0.713091E+05  0.141162E+04
  0.124731E+01  0.679036E+05  0.140755E+04
  0.124956E+01  0.700055E+05  0.141503E+04
  0.125181E+01  0.691345E+05  0.141397E+04
  0.125406E+01  0.688164E+05  0.139972E+04
  0.125631E+01  0.713200E+05  0.141574E+04
  0.125856E+01  0.682582E+05  0.140304E+04
  0.126081E+01  0.673545E+05  0.140147E+04
  0.126306E+01  0.674400E+05  0.139940E+04
  0.126531E+01  0.663109E+05  0.140155E+04
  0.126756E+01  0.652873E+05  0.140902E+04
  0.126981E+01  0.632364E+05  0.139395E+04
  0.127206E+01  0.648473E+05  0.140201E+04
  0.127431E+01  0.683218E+05  0.138661E+04
  0.127656E+01  0.657945E+05  0.140250E+04
  0.127881E+01  0.637073E+05  0.140022E+04
  0.128105E+01  0.626345E+05  0.138427E+04
