Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: LytAPhA
Parent(s): phage_zc.dat
 9.423290e-001  6.728910e+000  7.999870e-002
 9.450640e-001  6.748390e+000  8.105800e-002
 9.477990e-001  6.845400e+000  8.225580e-002
 9.505340e-001  6.533010e+000  7.914100e-002
 9.532690e-001  6.616770e+000  8.014590e-002
 9.560040e-001  6.505500e+000  7.982320e-002
 9.587390e-001  6.624490e+000  8.184070e-002
 9.614740e-001  6.679590e+000  8.226710e-002
 9.642090e-001  6.317770e+000  7.786750e-002
 9.669440e-001  6.187560e+000  7.937300e-002
 9.696790e-001  6.546690e+000  8.202930e-002
 9.724140e-001  6.358020e+000  8.129400e-002
 9.751500e-001  6.311180e+000  8.134570e-002
 9.778850e-001  6.164980e+000  7.770690e-002
 9.806200e-001  6.330400e+000  7.987180e-002
 9.833550e-001  5.994980e+000  7.722000e-002
 9.860900e-001  6.147680e+000  7.923750e-002
 9.888250e-001  5.995050e+000  7.728700e-002
 9.915600e-001  6.115500e+000  7.909610e-002
 9.942950e-001  6.011360e+000  7.938200e-002
 9.970300e-001  6.021570e+000  7.841290e-002
 9.997650e-001  5.635750e+000  7.580760e-002
 1.002500e+000  5.868040e+000  7.865350e-002
 1.005240e+000  5.936180e+000  7.860180e-002
 1.007970e+000  5.813270e+000  7.880240e-002
 1.010710e+000  5.802540e+000  7.722750e-002
 1.013440e+000  5.708730e+000  7.695250e-002
 1.016180e+000  5.700920e+000  7.788540e-002
 1.018910e+000  5.709260e+000  7.770780e-002
 1.021650e+000  5.577860e+000  7.850470e-002
 1.024380e+000  5.408960e+000  7.499130e-002
 1.027120e+000  5.577370e+000  7.722080e-002
 1.029850e+000  5.628880e+000  7.818580e-002
 1.032590e+000  5.368070e+000  7.509540e-002
 1.035320e+000  5.625790e+000  7.795260e-002
 1.038060e+000  5.468890e+000  7.837820e-002
 1.040790e+000  5.413780e+000  7.763690e-002
 1.043530e+000  5.208730e+000  7.450630e-002
 1.046260e+000  5.298070e+000  7.590070e-002
 1.049000e+000  5.203690e+000  7.601180e-002
 1.051730e+000  5.180890e+000  7.574910e-002
 1.054470e+000  5.154510e+000  7.611760e-002
 1.057200e+000  5.103400e+000  7.487790e-002
 1.059940e+000  5.047970e+000  7.495070e-002
 1.062670e+000  5.058330e+000  7.574300e-002
 1.065410e+000  5.038540e+000  7.568660e-002
 1.068140e+000  4.954690e+000  7.409400e-002
 1.070880e+000  5.038430e+000  7.491970e-002
 1.073610e+000  5.012950e+000  7.639540e-002
 1.076350e+000  4.934570e+000  7.461330e-002
 1.079080e+000  5.197450e+000  7.846720e-002
 1.081820e+000  4.868130e+000  7.363250e-002
 1.084550e+000  4.861730e+000  7.537790e-002
 1.087290e+000  4.645030e+000  7.331090e-002
 1.090020e+000  4.792490e+000  7.424400e-002
 1.092760e+000  4.771250e+000  7.421480e-002
 1.095490e+000  4.853440e+000  7.553240e-002
 1.098230e+000  4.598440e+000  7.356850e-002
 1.100960e+000  4.416620e+000  7.286870e-002
 1.103700e+000  4.593870e+000  7.194120e-002
 1.106430e+000  4.469390e+000  7.314310e-002
 1.109170e+000  4.657750e+000  7.407290e-002
 1.111900e+000  4.331250e+000  7.224710e-002
 1.114640e+000  4.404360e+000  7.354460e-002
 1.117370e+000  4.553480e+000  7.415920e-002
 1.120110e+000  4.531990e+000  7.442550e-002
 1.122840e+000  4.260530e+000  7.116120e-002
 1.125580e+000  4.363940e+000  7.307970e-002
 1.128310e+000  4.477070e+000  7.383960e-002
 1.131050e+000  4.329650e+000  7.334400e-002
 1.133780e+000  4.202530e+000  7.334710e-002
 1.136520e+000  4.192590e+000  7.153130e-002
 1.139250e+000  4.201510e+000  7.241430e-002
 1.141990e+000  3.995070e+000  7.031880e-002
 1.144720e+000  4.099210e+000  7.246110e-002
 1.147460e+000  4.035100e+000  7.254930e-002
 1.150200e+000  4.166370e+000  7.070840e-002
