 24-Sep-2012       (cyn_056.dat - 1.0*Aver(cyn_055.dat,cyn_057.dat) /  5.0230 
 cyn_056.dat  Conc = .50E+01  N1 =    1  N2 = 2168
 cyn_055.dat  Conc = 0.0d+0   N1 =    1  N2 = 2168
 cyn_057.dat  Conc = 0.0d+0   N1 =    1  N2 = 2168
  0.707753E+00  0.846536E+01  0.108057E+00
  0.710487E+00  0.815428E+01  0.104728E+00
  0.713221E+00  0.805015E+01  0.105337E+00
  0.715955E+00  0.826163E+01  0.106441E+00
  0.718689E+00  0.817347E+01  0.105969E+00
  0.721423E+00  0.804916E+01  0.105329E+00
  0.724157E+00  0.817377E+01  0.105032E+00
  0.726891E+00  0.798711E+01  0.103891E+00
  0.729625E+00  0.797812E+01  0.104285E+00
  0.732359E+00  0.788379E+01  0.103610E+00
  0.735094E+00  0.757134E+01  0.102932E+00
  0.737828E+00  0.778172E+01  0.101950E+00
  0.740562E+00  0.774166E+01  0.102923E+00
  0.743296E+00  0.769708E+01  0.102627E+00
  0.746030E+00  0.771885E+01  0.101475E+00
  0.748764E+00  0.753041E+01  0.101097E+00
  0.751498E+00  0.764857E+01  0.101937E+00
  0.754232E+00  0.757325E+01  0.102087E+00
  0.756966E+00  0.740013E+01  0.100328E+00
  0.759700E+00  0.721293E+01  0.100319E+00
  0.762434E+00  0.734183E+01  0.100778E+00
  0.765168E+00  0.727351E+01  0.100788E+00
  0.767902E+00  0.725805E+01  0.100057E+00
  0.770636E+00  0.733539E+01  0.100303E+00
  0.773370E+00  0.719144E+01  0.100520E+00
  0.776104E+00  0.745698E+01  0.101352E+00
  0.778838E+00  0.734280E+01  0.101114E+00
  0.781572E+00  0.701512E+01  0.993937E-01
  0.784306E+00  0.710289E+01  0.100825E+00
  0.787040E+00  0.700043E+01  0.101790E+00
  0.789774E+00  0.702354E+01  0.100870E+00
  0.792508E+00  0.704167E+01  0.100617E+00
  0.795242E+00  0.689345E+01  0.100842E+00
  0.797977E+00  0.683089E+01  0.100280E+00
  0.800711E+00  0.682844E+01  0.102367E+00
  0.803445E+00  0.675854E+01  0.998625E-01
  0.806179E+00  0.677146E+01  0.101474E+00
