Sample description: m7_hsa
Sample: m7_hsa  c= .0000 mg/ml  Code: m7_hsa
Parent(s): C:/Users/jeffries/AppData/Local/Temp/qt_temp.Yd7788 C:/Users/jeffries/AppData/Local/Temp/qt_temp.cd7788
 1.194990e+000  1.393240e+001  2.448784e+000
 1.197630e+000  1.581490e+001  2.434127e+000
 1.200260e+000  2.158750e+001  2.448986e+000
 1.202900e+000  1.369910e+001  2.437080e+000
 1.205530e+000  2.000440e+001  2.419855e+000
 1.208170e+000  1.288930e+001  2.442110e+000
 1.210800e+000  1.462800e+001  2.414985e+000
 1.213430e+000  1.657720e+001  2.424452e+000
 1.216070e+000  1.716650e+001  2.414427e+000
 1.218700e+000  1.783690e+001  2.407980e+000
 1.221340e+000  1.590350e+001  2.424630e+000
 1.223970e+000  1.478220e+001  2.406257e+000
 1.226610e+000  1.444960e+001  2.412149e+000
 1.229240e+000  1.462750e+001  2.406223e+000
 1.231880e+000  1.520740e+001  2.405145e+000
 1.234510e+000  1.473510e+001  2.411519e+000
 1.237150e+000  1.695100e+001  2.400868e+000
 1.239780e+000  1.634190e+001  2.404104e+000
 1.242420e+000  1.452250e+001  2.396190e+000
 1.245050e+000  1.164790e+001  2.406186e+000
 1.247680e+000  1.525940e+001  2.415770e+000
 1.250320e+000  1.705750e+001  2.379329e+000
 1.252950e+000  1.371490e+001  2.404314e+000
 1.255590e+000  1.524120e+001  2.379040e+000
 1.258220e+000  9.620800e+000  2.398046e+000
 1.260860e+000  1.904700e+001  2.396111e+000
 1.263490e+000  1.420040e+001  2.374990e+000
 1.266130e+000  1.561520e+001  2.379320e+000
 1.268760e+000  1.198000e+001  2.376057e+000
 1.271400e+000  1.700790e+001  2.379933e+000
 1.274030e+000  1.745440e+001  2.365870e+000
 1.276670e+000  1.366820e+001  2.373460e+000
 1.279300e+000  1.502390e+001  2.369828e+000
 1.281940e+000  1.348520e+001  2.364368e+000
 1.284570e+000  1.365300e+001  2.355291e+000
 1.287200e+000  1.423400e+001  2.345021e+000
 1.289840e+000  1.306450e+001  2.362673e+000
 1.292470e+000  1.532590e+001  2.360330e+000
 1.295110e+000  1.223560e+001  2.337815e+000
 1.297740e+000  1.414970e+001  2.330040e+000
 1.300380e+000  1.336570e+001  2.345285e+000
 1.303010e+000  1.649540e+001  2.354107e+000
 1.305650e+000  1.354010e+001  2.336929e+000
 1.308280e+000  7.487300e+000  2.332852e+000
 1.310920e+000  9.089100e+000  2.325982e+000
 1.313550e+000  9.790200e+000  2.329776e+000
 1.316190e+000  1.033390e+001  2.327601e+000
 1.318820e+000  8.531500e+000  2.316005e+000
 1.321460e+000  1.261890e+001  2.320765e+000
